958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])(OC)    O(C[6]C[6,6a]C[6,6])(HO)     H(OC[6])(OC)    O(C[6]C[6,6a]C[6,6])(HO)   1.1889    0.0000    1     1.1889     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])(OC)    O(C[6]C[6,6a]C[6])(HO)     H(OC[6])(OC)    O(C[6]C[6,6a]C[6])(HO)   1.4027    0.0000    1     1.4027     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])(OC)    O(C[6]C[6]2)(HO)     H(OC[6])(OC)    O(C[6]C[6]2)(HO)   1.1593    0.0868    3     1.1593     0.0868    3
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])(OC)    O(C[6]C[6]N[6])(HO)     H(OC[6])(OC)    O(C[6]C[6]N[6])(HO)   1.3591    0.0827    2     1.3591     0.0827    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])2    O(C[6]C[6,6a]C[5,6])(HO)     H(OC[6])2    O(C[6]C[6,6a]C[5,6])(HO)   1.2522    0.0957    2     1.2522     0.0957    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])2    O(C[6]C[6]2)(HO)     H(OC[6])2    O(C[6]C[6]2)(HO)   1.2347    0.1318    9     1.2347     0.1318    9
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6])2    O(C[6]C[6]N[6])(HO)     H(OC[6])2    O(C[6]C[6]N[6])(HO)   1.2812    0.1365    4     1.2812     0.1365    4
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6]-3_2_2:H-3_3     H(OC[6a])(OC[6])    O(C[6]C[6]2)(HO)     H(OC[6a])(OC[6])    O(C[6]C[6]2)(HO)   1.2202    0.0000    1     1.2202     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6a]-3_2_2:H-3_3     H(OC[6a])(OC)    O(C[6a]C[6a]2)(HO)     H(OC[6a])(OC)    O(C[6a]C[6a]2)(HO)   1.1953    0.1411    4     1.1953     0.1411    4
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6a]-3_2_2:H-3_3     H(OC[6a])(OC[6])    O(C[6a]C[6a]2)(HO)     H(OC[6a])(OC[6])    O(C[6a]C[6a]2)(HO)   1.2101    0.0000    1     1.2101     0.0000    1
