762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Au<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3434    0.0031    11     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|C<3>,1|F<1>,1|P<4>}    F(C[6]C[6]2)   1.3410    0.0010    2     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|C<3>,2|F<1>}    F(C[6]C[6]2)   1.3435    0.0029    31     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|C<4>,2|F<1>}    F(C[6]C[6]2)   1.3429    0.0007    3     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Ce<12>,1|C<4>,1|F<1>,1|F<2>}    F(C[6]C[6]2)   1.3372    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Ce<17>,1|C<4>,1|F<1>,1|N<3>}    F(C[6]C[6]2)   1.3389    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Co<5>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3471    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Cr<5>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3471    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Cu<2>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3470    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|F<1>,2|C<3>}    F(C[6]C[6]2)   1.3378    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Fe<6>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3472    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Ga<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3434    0.0010    5     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Ge<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3410    0.0041    3     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Hg<2>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3408    0.0042    5     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Hg<3>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3434    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Pd<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3458    0.0011    3     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Pt<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3446    0.0008    3     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Pt<5>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3448    0.0035    4     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Pt<7>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3422    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Si<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3424    0.0025    2     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Te<2>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3432    0.0052    2     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Ti<6>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3404    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Zn<4>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3441    0.0006    4     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]F)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]F)2(F){1|Zr<12>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3454    0.0000    1     1.3434     0.0031    109
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]H)(C[6]N[6]H)(F)    F(C[6]C[6]2)     C[6](C[6]C[6]H)(C[6]N[6]H)(F){1|Ru<6>,1|C<3>,1|H<1>}    F(C[6]C[6]2)   1.3429    0.0000    1     1.3429     0.0000    1
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]H)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]H)2(F){1|Ir<6>,1|C<3>,1|F<1>}    F(C[6]C[6]2)   1.3471    0.0000    1     1.3373     0.0138    2
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]C[6]H)2(F)    F(C[6]C[6]2)     C[6](C[6]C[6]H)2(F){1|Pt<4>,1|C<3>,1|H<1>}    F(C[6]C[6]2)   1.3276    0.0000    1     1.3373     0.0138    2
762    830     3:3:1:    3:    C[6]-3:C[6]-3:F-1:     C[6]-3:     N    C[6](C[6]N[6]H)(C[6]N[6]N)(F)    F(C[6]C[6]2)     C[6](C[6]N[6]H)(C[6]N[6]N)(F){1|C<3>,2|H<1>}    F(C[6]C[6]2)   1.3462    0.0000    1     1.3462     0.0000    1
762    830     3:3:1:    3:    C[6a,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]F)(F)    F(C[6a]C[6a,6a]C[6a])     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]F)(F){1|Br<1>,1|H<1>,1|N<2>,2|C<3>}    F(C[6a]C[6a,6a]C[6a])   1.3408    0.0000    1     1.3434     0.0029    6
762    830     3:3:1:    3:    C[6a,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]F)(F)    F(C[6a]C[6a,6a]C[6a])     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]F)(F){1|Cl<1>,1|F<1>,3|C<3>}    F(C[6a]C[6a,6a]C[6a])   1.3470    0.0000    1     1.3434     0.0029    6
762    830     3:3:1:    3:    C[6a,6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]F)(F)    F(C[6a]C[6a,6a]C[6a])     C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]F)(F){2|F<1>,3|C<3>}    F(C[6a]C[6a,6a]C[6a])   1.3432    0.0027    4     1.3434     0.0029    6
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5,6a]F)(C[6a]C[6a]F)(F){1|B<4>,1|C<3>,1|F<1>}    F(C[6a]C[6a]2)   1.3455    0.0000    1     1.3430     0.0025    3
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5,6a]F)(C[6a]C[6a]F)(F){1|C<3>,1|F<1>,1|S<2>}    F(C[6a]C[6a]2)   1.3417    0.0018    2     1.3430     0.0025    3
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5a,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5a,6a]F)(C[6a]C[6a]F)(F){1|C<3>,1|F<1>,1|N<2>}    F(C[6a]C[6a]2)   1.3403    0.0000    1     1.3422     0.0024    4
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5a,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5a,6a]F)(C[6a]C[6a]F)(F){1|C<3>,1|F<1>,1|N<3>}    F(C[6a]C[6a]2)   1.3447    0.0000    1     1.3422     0.0024    4
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5a,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5a,6a]F)(C[6a]C[6a]F)(F){1|F<1>,2|C<3>}    F(C[6a]C[6a]2)   1.3420    0.0028    2     1.3422     0.0024    4
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]F)(F){2|F<1>,3|C<3>}    F(C[6a]C[6a]2)   1.3452    0.0000    1     1.3452     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]H)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[5a]C[6a])(C[6a]C[6a]H)(F){1|C<3>,1|F<1>,1|H<1>,2|N<2>}    F(C[6a]C[6a]2)   1.3476    0.0000    1     1.3476     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6,6a]F)(C[6a]C[6a]F)(F){1|B<4>,1|C<3>,1|F<1>}    F(C[6a]C[6a]2)   1.3442    0.0000    1     1.3442     0.0000    2
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6,6a]F)(C[6a]C[6a]F)(F){1|F<1>,2|C<3>}    F(C[6a]C[6a]2)   1.3442    0.0000    1     1.3442     0.0000    2
