490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_7247_0  465_130_0  1.3096  0.0272  9  1.3096  0.0272  9  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_7318_0  465_130_0  1.3300  0.0073  12  1.3300  0.0073  12  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_8217_0  465_130_0  1.3266  0.0097  9  1.3266  0.0097  9  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_11223_0  465_130_0  1.3311  0.0104  21  1.3311  0.0104  21  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_11606_0  465_130_0  1.3300  0.0093  61  1.3300  0.0093  61  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_15304_0  465_130_0  1.3239  0.0141  36  1.3239  0.0141  36  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_15373_0  465_130_0  1.3183  0.0243  316  1.3183  0.0243  316  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_15463_0  465_130_0  1.3284  0.0060  6  1.3284  0.0060  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_15994_0  465_130_0  1.3246  0.0176  39  1.3246  0.0176  39  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_16288_0  465_130_0  1.3399  0.0070  3  1.3399  0.0070  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_16563_0  465_130_0  1.3342  0.0091  42  1.3342  0.0091  42  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_16777_0  465_130_0  1.3150  0.0284  1293  1.3150  0.0284  1293  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_16872_0  465_130_0  1.3355  0.0065  6  1.3355  0.0065  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_11222_0  465_131_0  1.3598  0.0011  2  1.3598  0.0011  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_15372_0  465_131_0  1.3533  0.0111  16  1.3533  0.0111  16  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_16776_0  465_131_0  1.3561  0.0091  5  1.3561  0.0091  5  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:H-3:H-3  C-2_0_0_0  240_11221_0  465_138_0  1.4047  0.0127  2  1.4047  0.0127  2  
