490  902  SP2_SP3  N  3:1:1:1:  6:3:4:  C[3]-6_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-6_2_2:Nb[3,6]-2_2_2_2_2_1  240_18859_0  295_2051_1  1.4974  0.0000  1  1.4974  0.0000  1  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_2_2:Nb[3,3x6]-2_2_2_2_2_0_0  240_18856_0  295_2034_1  1.4938  0.0000  1  1.4938  0.0000  1  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_2_2:Nb[3,3x6]-2_2_2_2_2_0_0  240_18856_0  295_2038_1  1.4892  0.0000  1  1.4892  0.0000  1  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_3_2:Nb[3,3x6]-2_2_2_2_2_2_2  240_18856_0  295_2041_1  1.4959  0.0062  2  1.4959  0.0062  2  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_3_2:Nb[3,3x6]-3_2_2_2_2_2_1  240_18856_0  295_2036_1  1.4864  0.0136  4  1.4864  0.0136  4  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_3_2:Nb[3,3x6]-3_2_2_2_2_2_2  240_18856_0  295_2040_1  1.4928  0.0078  2  1.4928  0.0078  2  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_3_2:Nb[3,3x6]-3_2_2_2_2_2_2  240_18856_0  295_2043_1  1.4882  0.0063  2  1.4882  0.0063  2  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_3_2:Nb[3,5,6,6]-3_3_2_2_2_2_0  240_18857_0  295_2048_1  1.4854  0.0102  6  1.4854  0.0102  6  
490  902  SP2_SP3  N  3:1:1:1:  7:3:4:  C[3]-7_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-7_3_2:Nb[3,5,6]-3_3_2_2_2_0_0  240_18858_0  295_2049_1  1.4901  0.0230  2  1.4901  0.0230  2  
490  902  SP2_SP3  N  3:1:1:1:  8:3:4:  C[3]-8_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-8_3_2:Nb[3,3,3x6]-2_2_2_2_2_2_2_1  240_18855_0  295_2032_1  1.4839  0.0059  2  1.4839  0.0059  2  
490  902  SP2_SP3  N  3:1:1:1:  8:3:4:  C[3]-8_3_2:H-3:H-3:H-3  C-2_0_0_0:C[3]-8_3_2:Nb[3,3,3x6]-3_3_2_2_2_2_2_2  240_18855_0  295_2031_1  1.4747  0.0201  2  1.4747  0.0201  2  
490  902  SP2_SP3  N  3:2:1:1:  4:3:4:  C[3]-3_3_2:H-3:H-3:O-3_3  C-3_2_0_0:C[3]-2_2_2_2:C[3]-3_2_0  240_18327_0  295_1246_1  1.4908  0.0000  1  1.4908  0.0000  1  
490  902  SP2_SP3  N  3:3:1:1:  4:3:4:  C[3]-3_3_2:H-3:H-3:N-3_3_3  C-2_2_0_0:C[3]-3_3_2:Si[3]-2_2_2_0  240_18873_0  295_2121_1  1.4803  0.0016  2  1.4803  0.0016  2  
490  902  SP2_SP3  N  3:3:1:1:  6:3:4:  C[3]-6_3_2:C[6a]-3_2_2:H-3:H-3  C-2_2_0_0:Nb[3,6]-2_2_2_2_2_1:N[3]-6_3_2  240_18860_0  295_2053_1  1.5077  0.0082  2  1.5077  0.0082  2  
490  902  SP2_SP3  N  3:4:1:1:  3:4:4:  C-5_3_3_3:C[3]-3_3_2:H-3:H-3  C-3_2_0_0:C[3,3]-6_3_2:C[3x3]-6_2_2_1  240_18149_0  295_26_1  1.5576  0.0000  1  1.5576  0.0000  1  
490  902  SP2_SP3  N  3:4:1:1:  4:3:4:  C-3_0_0_0:C[3]-3_3_2:H-3:H-3  C-3_2_0_0:C[3,5]-2_2_2_2:C[3]-3_2_2  240_18201_0  295_241_1  1.4786  0.0055  2  1.4786  0.0055  2  
490  902  SP2_SP3  N  3:4:1:1:  4:3:4:  C-3_0_0_0:C[3]-3_3_2:H-3:H-3  C-3_2_0_0:C[3,6]-3_2_2_2:C[3]-3_2_2  240_18281_0  295_462_1  1.4905  0.0000  1  1.4905  0.0000  1  
490  902  SP2_SP3  N  3:4:1:1:  4:3:4:  C-3_0_0_0:C[3]-3_3_2:H-3:H-3  C-3_2_0_0:C[3]-2_2_2_2:C[3]-3_2_2  240_18318_0  295_1281_1  1.4764  0.0000  1  1.4764  0.0000  1  
490  902  SP2_SP3  N  3:4:1:1:  4:3:4:  C-3_0_0_0:C[3]-3_3_2:H-3:H-3  C-3_2_0_0:C[3]-3_3_2:Si[3]-2_2_2_0  240_18872_0  295_2120_1  1.4927  0.0059  2  1.4927  0.0059  2  
490  902  SP2_SP3  N  3:4:1:1:  4:3:4:  C-3_3_0_0:C[3]-3_3_2:H-3:H-3  C-3_2_0_0:C[3]-3_2_0:C[3]-3_2_2_0  240_18313_0  295_1062_0  1.4787  0.0000  1  1.4787  0.0000  1  
490  902  SP2_SP3  N  3:4:4:4:  3:3:4:  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[3]-3_3_2  C-3_3_3_2:C[3]-3_3_2:P[3]-2_2_0  240_18786_0  295_1746_0  1.4978  0.0034  4  1.4978  0.0034  4  
490  902  SP2_SP3  N  3:4:4:4:  4:2:4:  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[3]-3_3_0  C-3_3_3_2:C[3,6]-2_2_2_0:P[3]-3_2  240_18307_0  295_559_1  1.5100  0.0000  1  1.5100  0.0000  1  
490  902  SP2_SP3  N  3:4:4:4:  4:3:4:  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[3]-3_3_2  C-3_3_3_2:C[3]-3_2_0:C[3]-3_2_2_0  240_18320_0  295_1061_0  1.4913  0.0000  1  1.4913  0.0000  1  
490  903  SP2_SP3  N  3:1:1:1:  3:4:4:  H-3:H-3:H-3:Se[6]-3_3_2  C-2_0_0_0:C[6,6a]-2_2_2:C[6]-3_2_0_0  240_55439_0  786_14_1  1.9524  0.0241  2  1.9524  0.0241  2  
490  907  SP3_SP3  N  4:1:1:1:  2:2:4:4:  Ge[4]-3_3_2_2:H-3:H-3:H-3  C-3_0_0_0:C-3_0_0_0:S[4]-3_2:S[4]-3_2  240_42135_0  551_58_1  1.9253  0.0134  4  1.9253  0.0134  4  
490  907  SP3_SP3  N  4:4:4:1:  2:2:4:1:  Ge[4]-3_3_3_0:H-3:P-3_2_2_0:P-3_2_2_0  C-3_3_3_0:Cl-3:S[4]-3_3:S[4]-3_3  240_42136_0  551_59_1  2.0104  0.0000  1  2.0104  0.0000  1  
490  907  SP3_SP3  N  4:4:4:4:  2:2:4:1:  C-3_0_0_0:C-3_0_0_0:C-3_2_0_0:Ge[4]-3_3_3_0  C-3_3_3_3:Cl-3:Se[4]-3_3:Se[4]-3_3  240_42137_0  551_61_1  1.9839  0.0000  1  1.9839  0.0000  1  
490  907  SP3_SP3  N  4:4:4:4:  3:3:2:4:  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:Ge[4]-3_3_2_2  C-3_3_3_3:C[4]-3_3_0:C[6a]-3_2_2:O[4]-3_3  240_42130_0  551_9_1  1.9837  0.0000  1  1.9837  0.0000  1  
490  907  SP3_SP3  N  4:4:4:4:  3:3:4:4:  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:Ge[4]-3_3_2_2  C-3_3_3_3:C-3_3_3_3:C[4]-3_3_3:C[4]-3_3_3  240_42129_0  551_6_1  2.0186  0.0013  2  2.0186  0.0013  2  
490  908  SP2_SP3  N  3:1:1:1:  3:3:4:  H-3:H-3:H-3:Se-3_2_2  C-2_0_0_0:C[6a]-2_2_2:C[6a]-2_2_2  240_55329_0  773_171_0  1.9456  0.0046  4  1.9456  0.0046  4  
490  908  SP2_SP3  N  3:1:1:1:  3:4:1:  H-3:H-3:H-3:Se-3_2_2  C-2_0_0_0:C[6a]-2_2_2:O-2  240_55338_0  773_166_0  1.9425  0.0099  3  1.9425  0.0099  3  
490  908  SP2_SP3  N  3:1:1:1:  3:4:3:  F-3:F-3:F-3:Se-3_2_2  C-2_0_0_0:C-2_2_2:C[6a]-2_2_2  240_55332_0  773_205_0  2.0328  0.0000  1  2.0328  0.0000  1  
490  908  SP2_SP3  N  3:1:1:1:  4:4:1:  H-3:H-3:H-3:Se-3_3_2  C-2_0_0_0:C-2_0_0_0:O-2  240_55279_0  773_61_0  1.9310  0.0021  2  1.9310  0.0021  2  
490  908  SP2_SP3  N  3:1:1:1:  4:4:2:  H-3:H-3:H-3:Se-3_3_3  C-2_0_0_0:C-2_0_0_0:Se-3_2  240_55427_0  773_63_0  1.9384  0.0090  2  1.9384  0.0090  2  
490  908  SP2_SP3  N  3:1:1:1:  4:4:3:  H-3:H-3:H-3:Se-3_3_2  C-2_0_0_0:C-2_0_0_0:C-3_2_2  240_55277_0  773_60_0  1.9313  0.0079  2  1.9313  0.0079  2  
490  908  SP2_SP3  N  3:1:1:1:  4:4:4:  H-3:H-3:H-3:Se-3_3_0  C-2_0_0_0:C-2_0_0_0:Ga-2_0_0_0  240_55383_0  773_271_0  1.9460  0.0000  1  1.9460  0.0000  1  
490  908  SP2_SP3  N  3:1:1:1:  4:4:4:  H-3:H-3:H-3:Se-3_3_0  C-2_0_0_0:C-2_0_0_0:In-2_0_0_0  240_55388_0  773_300_0  1.9409  0.0000  1  1.9409  0.0000  1  
490  908  SP2_SP3  N  3:1:1:1:  4:4:4:  H-3:H-3:H-3:Se-3_3_3  C-2_0_0_0:C-2_0_0_0:C-2_0_0_0  240_55277_0  773_64_0  1.9375  0.0000  1  1.9375  0.0000  1  
490  908  SP2_SP3  N  3:1:1:1:  4:4:4:  H-3:H-3:H-3:Se-3_3_3  C-2_0_0_0:C-2_2_0_0:C-2_2_0_0  240_55277_0  773_50_0  1.9285  0.0000  1  1.9285  0.0000  1  
490  908  SP2_SP3  N  3:1:1:1:  4:4:4:  H-3:H-3:H-3:Se-3_3_3  C-2_0_0_0:C-2_2_0_0:C[5,6]-3_3_2_0  240_55282_0  773_91_0  1.9656  0.0000  1  1.9656  0.0000  1  
490  908  SP2_SP3  N  3:1:1:1:  6:4:4:  H-3:H-3:H-3:Se-6_3_3  C-2_0_0_0:C-2_0_0_0:Nb-2_0_0_0_0_0  240_55399_0  773_306_0  1.9466  0.0000  1  1.9466  0.0000  1  
490  908  SP2_SP3  N  3:3:1:1:  3:4:1:  C[6a]-3_2_2:H-3:H-3:Se-3_2_2  C-2_2_0_0:C[6a]-2_2_2:O-2  240_40626_0  773_203_0  1.9785  0.0000  1  1.9785  0.0000  1  
490  908  SP2_SP3  N  3:3:1:1:  4:4:1:  C[6a]-3_2_2:H-3:H-3:Se-3_3_0  Br-2:C-2_2_0_0:C-2_2_0_0  240_40614_0  773_49_0  1.9958  0.0000  1  1.9958  0.0000  1  
490  908  SP2_SP3  N  3:3:1:1:  4:4:4:  C-3_2_0:H-3:H-3:Se-3_3_3  C-2_0_0_0:C-2_2_0_0:C[5,6]-3_3_2_0  240_55281_0  773_91_0  2.0221  0.0000  1  2.0221  0.0000  1  
490  908  SP2_SP3  N  3:3:1:1:  4:4:4:  C-3_3_2:H-3:H-3:Se-3_3_3  C-2_2_0_0:C-2_2_0_0:C-2_2_0_0  240_55275_0  773_23_0  1.9498  0.0023  3  1.9498  0.0023  3  
490  908  SP2_SP3  N  3:3:1:1:  4:4:4:  C[6a]-3_2_2:H-3:H-3:Se-3_3_3  C-2_0_0_0:C-2_2_0_0:C-2_2_0_0  240_40616_0  773_50_0  1.9716  0.0139  2  1.9716  0.0139  2  
490  908  SP2_SP3  N  3:4:1:1:  4:4:4:  C-3_0_0_0:H-3:H-3:Se-3_3_3  C-3_2_0_0:C-3_2_0_0:C-3_2_0_0  240_55276_0  773_23_0  1.9675  0.0000  1  1.9675  0.0000  1  
490  908  SP2_SP3  N  3:4:1:1:  4:4:4:  C-3_3_0_0:H-3:H-3:Se-3_3_0  C-3_2_0_0:C-3_2_0_0:Ga-2_0_0_0  240_55382_0  773_270_0  1.9723  0.0000  1  1.9723  0.0000  1  
490  908  SP2_SP3  N  4:3:1:1:  4:2:1:  C[6]-3_3_3_0:H-3:H-3:Se-3_2_2  C-3_2_0_0:O-2_0:O-2  240_34223_0  773_34_0  1.9450  0.0000  1  1.9450  0.0000  1  
490  908  SP2_SP3  N  4:3:1:1:  4:4:4:  C-3_2_0_0:H-3:H-3:Se-3_3_0  C-3_2_0_0:C-3_2_0_0:Ga-2_0_0_0  240_17474_0  773_270_0  1.9633  0.0000  1  1.9633  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  Cl-3:Cl-3:Cl-3:S-3_2  C-2_0_0_0:C[5a]-2_2_2  240_54369_0  749_1312_0  1.8169  0.0000  1  1.8169  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  Cl-3:H-3:H-3:S-3_2  C-2_0_0_0:C[6a]-2_2_2  240_54521_0  749_1568_0  1.7891  0.0000  1  1.7891  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0:C-2_2_2  240_54197_0  749_495_0  1.7662  0.0000  1  1.7662  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0:C[5]-2_2_2  240_54316_0  749_1083_0  1.8085  0.0000  1  1.8085  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0:C[5]-3_2_2  240_54316_0  749_969_0  1.7793  0.0000  1  1.7793  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0:C[5a]-2_2_2  240_54370_0  749_1160_0  1.7765  0.0000  1  1.7765  0.0000  1  
490  909  SP2_SP3  N  2:1:1:1:  3:4:  F-3:F-3:F-3:S-3_2  C-2_0_0_0:C[5a]-2_2_2  240_54370_0  749_1210_0  1.7937  0.0000  1  1.7937  0.0000  1  
