863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6559_0  746_62_1  1.4794  0.0028  3  1.4794  0.0028  3  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6560_0  746_59_1  1.4752  0.0000  1  1.4752  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,5a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6560_0  746_63_1  1.4781  0.0000  1  1.4781  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6]-3_2_2:C[5,6]-3_2_2:C[6a]-3_2_2:O-3  665_6561_0  746_74_1  1.4882  0.0000  1  1.4882  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6568_0  746_88_1  1.4737  0.0000  1  1.4737  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6568_0  746_154_1  1.4818  0.0052  2  1.4818  0.0052  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6568_0  746_245_1  1.4850  0.0000  1  1.4803  0.0123  9  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6568_0  746_245_2  1.4802  0.0000  1  1.4803  0.0123  9  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6568_0  746_245_3  1.4796  0.0140  7  1.4803  0.0123  9  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5,6a]-3_2_2:C[6a]-3_2_2:O-3  665_6568_0  746_251_1  1.4811  0.0000  1  1.4811  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_1:C[6a]-3_2_2:O-3  665_6579_0  746_183_1  1.4841  0.0019  5  1.4841  0.0019  5  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6579_0  746_158_1  1.4829  0.0009  2  1.4829  0.0007  3  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6579_0  746_158_2  1.4830  0.0000  1  1.4829  0.0007  3  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6579_0  746_167_1  1.4872  0.0000  1  1.4847  0.0053  11  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6579_0  746_167_2  1.4833  0.0050  6  1.4847  0.0053  11  
