818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_2_2_2:C[5]-2_2_2  417_31319_2  688_968_2  1.3234  0.0000  1  1.3216  0.0025  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_2_0:C[5]-2_2_2  417_31319_3  688_941_1  1.3396  0.0000  1  1.3423  0.0038  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_2_0:C[5]-2_2_2  417_31319_3  688_941_2  1.3450  0.0000  1  1.3423  0.0038  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_3_2:C[5]-2_2_2  417_31315_1  688_981_1  1.3377  0.0000  1  1.3399  0.0031  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_3_2:C[5]-2_2_2  417_31315_2  688_981_2  1.3420  0.0000  1  1.3399  0.0031  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_3_2:C[5]-2_2_2  417_31319_1  688_935_1  1.3465  0.0000  1  1.3465  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_3_2:C[5]-2_2_2  417_31319_4  688_968_3  1.3290  0.0000  1  1.3335  0.0064  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6,6]-3_3_3_2:C[5]-2_2_2  417_31319_4  688_968_4  1.3381  0.0000  1  1.3335  0.0064  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_2_2_0:C[5]-2_2_2  417_31355_1  688_1301_1  1.3320  0.0108  3  1.3320  0.0108  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31315_1  688_1127_1  1.3426  0.0000  1  1.3426  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_2  688_1158_1  1.3263  0.0000  1  1.3424  0.0148  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_3  688_1158_2  1.3504  0.0069  2  1.3424  0.0148  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_3  688_1185_1  1.3369  0.0000  1  1.3369  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_2  688_1301_2  1.3418  0.0143  2  1.3462  0.0121  9  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_3  688_1301_3  1.3440  0.0000  1  1.3462  0.0121  9  
