818    846     SP2_SP2    Y    3:3:2:    3:3:4:    C[4,5]-3_2_2:C[5,6a]-2_2_2:S-3_2     C[4,5]-2_2_2:C[4]-3_3_2_2:C[5]-2_2_2     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[4])(SC)    C[4,5](C[4,5]C[5,6a]C[4])(C[5]C[5,6a]S)(C[4]C[4]CS)     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[4])(SC){1|C<4>,1|H<1>,1|S<2>,3|C<3>}    C[4,5](C[4,5]C[5,6a]C[4])(C[5]C[5,6a]S)(C[4]C[4]CS){3|C<3>}   1.3491    0.0000    1     1.3491     0.0000    1
818    846     SP2_SP2    Y    3:3:3:    3:3:4:    C[4,6]-3_2_2:C[5,5]-3_3_2:N[5,6]-3_2_2     C[4,6]-3_2_2:C[5,6]-2_2_2:Si[4]-3_3_3_2     C[5,6](C[4,6]C[4,6]Si[4])(C[5,5]N[5,5]C[5])(N[5,6]Si[5]C[6])    C[4,6](C[5,6]C[5,5]N[5,6])(C[4,6]Si[4]C[6])(Si[4]Si[4]CC)     C[5,6](C[4,6]C[4,6]Si[4])(C[5,5]N[5,5]C[5])(N[5,6]Si[5]C[6]){1|Si<4>,1|C<3>,3|H<1>,6|C<4>}    C[4,6](C[5,6]C[5,5]N[5,6])(C[4,6]Si[4]C[6])(Si[4]Si[4]CC){1|Si<4>,1|C<3>,1|H<1>,1|N<3>,3|C<4>}   1.4982    0.0000    1     1.4982     0.0000    1
818    846     SP2_SP2    Y    3:3:3:    4:3:3:    C[4,5]-3_2_2:C[5]-3_2_2:C[6a]-2_2_2     C[4,5]-2_2_2_2:C[4,5]-3_2_2:C[5]-2_2_2     C[5](C[4,5]C[4,5]2)(C[5]C[5,5]O)(C[6a]C[6a]2)    C[4,5](C[4,5]C[5,6a]2C[4])(C[4,5]C[5,5]C[4])(C[5]C[6a]C[5])     C[5](C[4,5]C[4,5]2)(C[5]C[5,5]O)(C[6a]C[6a]2){2|H<1>,7|C<3>}    C[4,5](C[4,5]C[5,6a]2C[4])(C[4,5]C[5,5]C[4])(C[5]C[6a]C[5]){1|O<1>,9|C<3>}   1.3561    0.0000    1     1.3561     0.0000    1
818    846     SP2_SP2    Y    3:3:4:    3:3:4:    C[4,5]-3_2_2:C[5]-3_2_0_0:C[6a]-2_2_2     C[4,5]-3_2_2:C[4]-2_2_2_2:C[5]-3_2_2     C[5](C[4,5]C[4,5]C[4])(C[6a]C[6a]2)(C[5]C[5]HH)    C[4,5](C[4,5]C[4]C[5])(C[5]C[6a]C[5])(C[4]C[4]CO)     C[5](C[4,5]C[4,5]C[4])(C[6a]C[6a]2)(C[5]C[5]HH){1|O<2>,4|C<3>,4|H<1>}    C[4,5](C[4,5]C[4]C[5])(C[5]C[6a]C[5])(C[4]C[4]CO){3|C<3>,4|H<1>}   1.3503    0.0051    2     1.3503     0.0051    2
818    846     SP2_SP2    Y    3:3:4:    4:3:4:    C[4,5]-3_3_2:C[5,6a]-2_2_2:P-2_2_2_2     C[4,5]-3_2_2_0:C[4]-3_2_0_0:C[5]-3_2_2     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[4])(PO3)    C[4,5](C[4,5]C[5,6a]C[4]H)(C[5]C[5,6a]P)(C[4]C[4]HH)     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[4])(PO3){1|C<4>,2|C<3>,4|H<1>}    C[4,5](C[4,5]C[5,6a]C[4]H)(C[5]C[5,6a]P)(C[4]C[4]HH){4|C<3>}   1.3490    0.0000    1     1.3490     0.0000    1
818    846     SP2_SP2    Y    3:4:1:    3:4:3:    C[4,5]-3_2_0:C[5]-3_3_3_2:H-2     C[4]-3_3_3_2:C[5]-3_2_0:I[4,5]-3_3_2     C[5](C[4,5]I[4,5]C[4])(C[5]O[5]CC)(H)    C[4,5](I[4,5]O[4]O[5])(C[4]O[4]CC)(C[5]C[5]H)     C[5](C[4,5]I[4,5]C[4])(C[5]O[5]CC)(H){1|O<2>,2|C<4>}    C[4,5](I[4,5]O[4]O[5])(C[4]O[4]CC)(C[5]C[5]H){2|C<4>}   1.2836    0.0000    1     1.2836     0.0000    1
818    846     SP2_SP2    Y    3:4:3:    4:4:3:    B[5]-2_2_2_2:C[4,5]-3_3_2:N[6]-3_3_2     C[4,5]-3_3_2_2:C[5]-3_3_2:N[4,6]-3_3_3_2     C[5](C[4,5]C[4,5]N[4,6])(B[5]C[6a]2C[5])(N[6]C[6]2)    C[4,5](C[4,5]B[4]C[5]N[6])(N[4,6]B[4]C[6]2)(C[5]B[5]N[6])     C[5](C[4,5]C[4,5]N[4,6])(B[5]C[6a]2C[5])(N[6]C[6]2){1|B<4>,2|N<3>,4|C<3>,4|C<4>,4|H<1>}    C[4,5](C[4,5]B[4]C[5]N[6])(N[4,6]B[4]C[6]2)(C[5]B[5]N[6]){1|N<3>,2|C<3>,2|F<1>,4|H<1>,6|C<4>}   1.3634    0.0000    1     1.3634     0.0000    1
818    846     SP2_SP2    Y    3:4:3:    4:4:3:    C-2_2_2:C[4,5]-3_3_2:C[5]-3_2_2_0     C[4,5]-3_3_2_0:C[4]-3_3_2_0:C[5]-3_2_2     C[5](C[4,5]C[4,5]C[4])(C[5]C[6a]C[5]H)(COO)    C[4,5](C[4,5]C[4]C[5]H)(C[4]C[4]CH)(C[5]C[5]C)     C[5](C[4,5]C[4,5]C[4])(C[5]C[6a]C[5]H)(COO){1|S<4>,2|C<3>,2|C<4>,3|H<1>}    C[4,5](C[4,5]C[4]C[5]H)(C[4]C[4]CH)(C[5]C[5]C){1|C<3>,2|S<4>,3|H<1>}   1.3408    0.0000    1     1.3408     0.0000    1
818    846     SP2_SP2    Y    6:3:2:    5:3:5:    C[4,5]-5_5_2:C[5x3,6x5,20x6]-6_6_6_6_6_2:O-5_2     C[5]-6_2_2:Si[4,4,5]-6_3_2_2_2:Si[4,4]-3_2_2_2_2     C[5](C[5x3,6x5,20x6]B[5x3,5x5,20x6]4C[5x3,6x5,20x6])(C[4,5]Si[4,4,5]Si[4,4])(OSi[4,4])    C[4,5](Si[4,4,5]C[5x3,6x5,20x6]N[4]2O[4])(C[5]C[5x3,6x5,20x6]O)(Si[4,4]N[4]2O[4]O)     C[5](C[5x3,6x5,20x6]B[5x3,5x5,20x6]4C[5x3,6x5,20x6])(C[4,5]Si[4,4,5]Si[4,4])(OSi[4,4]){2|O<2>,4|H<1>,4|N<3>,5|B<6>}    C[4,5](Si[4,4,5]C[5x3,6x5,20x6]N[4]2O[4])(C[5]C[5x3,6x5,20x6]O)(Si[4,4]N[4]2O[4]O){2|C<3>,4|C<4>,6|B<6>}   1.3332    0.0056    2     1.3332     0.0056    2
818    847     SP2_SPD5    N    3:3:5:    3:1:1:1:1:    C[5]-2_2_0:N[5]-2_2_2:Si-2_0_0_0_0     Cl-5:Cl-5:Cl-5:Cl-5:C[5]-5_2_2     C[5](N[5]C[6a]C[5])(C[5]N[5]H)(SiCl4)    Si(C[5]C[5]N[5])(Cl)4     C[5](N[5]C[6a]C[5])(C[5]N[5]H)(SiCl4){1|H<1>,3|C<3>}    Si(C[5]C[5]N[5])(Cl)4   1.8845    0.0000    1     1.8845     0.0000    1
