818    846     SP2_SP2    N    3:3:3:    3:3:3:    C[5,6a]-3:C[5,6a]-3:C[4]-3:     C[4]-3:C[4]-3:C[5]-3:     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]C[5])(C[5]C[5,6a]2)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2){2|H<1>,7|C<3>}    C[4](C[4]C[6a]C[4])(C[4]C[4]C[5])(C[5]C[5,6a]2){9|C<3>}   1.3595    0.0000    1     1.3595     0.0000    1
818    846     SP2_SP2    N    3:3:3:    3:3:3:    C[5a,6a]-3:C[4a]-3:C[5a]-3:     C[5a]-3:C[4a]-3:C[4a]-3:     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[4a]C[4a]2)(C[5a]N[5a]C)    C[4a](C[5a]C[5a,6a]C[5a])(C[4a]C[4a]O)2     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[4a]C[4a]2)(C[5a]N[5a]C){1|C<4>,1|H<1>,2|O<1>,3|C<3>}    C[4a](C[5a]C[5a,6a]C[5a])(C[4a]C[4a]O)2{1|C<4>,1|N<3>,3|C<3>}   1.4074    0.0016    2     1.4074     0.0016    2
818    846     SP2_SP2    N    3:3:3:    3:3:3:    C[5a,6a]-3:C[4a]-3:C[5a]-3:     C[5a]-3:C[4a]-3:C[4a]-3:     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[4a]C[4a]2)(C[5a]N[5a]H)    C[4a](C[5a]C[5a,6a]C[5a])(C[4a]C[4a]O)2     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[4a]C[4a]2)(C[5a]N[5a]H){1|C<4>,1|H<1>,2|O<1>,3|C<3>}    C[4a](C[5a]C[5a,6a]C[5a])(C[4a]C[4a]O)2{1|H<1>,1|N<3>,3|C<3>}   1.3864    0.0000    1     1.3864     0.0000    1
818    846     SP2_SP2    N    3:3:3:    3:3:4:    C[5a]-3:C[5a]-3:C[4]-3:     C[4]-3:C[5a]-3:C[4]-4:     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<3>,2|C<4>,2|F<1>}    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}   1.4473    0.0111    4     1.4493     0.0081    8
818    846     SP2_SP2    N    3:3:3:    3:3:4:    C[5a]-3:C[5a]-3:C[4]-3:     C[4]-3:C[5a]-3:C[4]-4:     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<4>,2|C<3>,2|F<1>}    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}   1.4514    0.0041    4     1.4493     0.0081    8
818    846     SP2_SP2    N    3:3:3:    3:3:4:    N[5a]-3:C[5a]-3:C[4]-3:     C[5a]-3:N[4]-3:C[4]-4:     C[5a](N[5a]C[5a,6a]C[4])(C[5a]C[5a,6a]N)(C[4]C[4]N[4])    C[4](C[5a]C[5a]N[5a])(N[4]C[6a]C[4])(C[4]C[4]CC)     C[5a](N[5a]C[5a,6a]C[4])(C[5a]C[5a,6a]N)(C[4]C[4]N[4]){1|H<1>,1|N<3>,3|C<4>,4|C<3>}    C[4](C[5a]C[5a]N[5a])(N[4]C[6a]C[4])(C[4]C[4]CC){1|C<4>,1|N<2>,1|O<1>,4|C<3>}   1.3375    0.0000    1     1.3375     0.0000    1
818    846     SP2_SP2    N    3:3:3:    3:4:3:    C[4]-3:C[5]-3:C[5]-3:     C[4]-3:C[4]-4:C[5]-3:     C[5](C[4]C[4]2)(C[5]C[5]H)(C[5]S[5]C)    C[4](C[4]C[4]C[5])(C[4]C[4]FF)(C[5]C[5]2)     C[5](C[4]C[4]2)(C[5]C[5]H)(C[5]S[5]C){1|C<4>,2|C<3>,2|F<1>}    C[4](C[4]C[4]C[5])(C[4]C[4]FF)(C[5]C[5]2){1|C<4>,1|H<1>,1|S<2>,2|F<1>,3|C<3>}   1.4559    0.0000    1     1.4559     0.0000    1
818    846     SP2_SP2    N    3:3:3:    4:3:3:    C[5,6a]-3:C[5,6a]-3:C[4]-3:     C[4,5]-4:C[4]-3:C[5]-3:     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4,5]C[4])    C[4](C[4,5]C[5,6a]2C[4,5])(C[4]C[4,5]C[5])(C[5]C[5,6a]2)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4,5]C[4]){1|C<4>,2|H<1>,7|C<3>}    C[4](C[4,5]C[5,6a]2C[4,5])(C[4]C[4,5]C[5])(C[5]C[5,6a]2){12|C<3>}   1.3565    0.0005    2     1.3565     0.0005    2
818    846     SP2_SP2    N    3:3:3:    4:3:3:    C[5,6a]-3:C[5,6a]-3:C[4]-3:     C[4]-4:C[4]-3:C[5]-3:     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2)    C[4](C[4]C[6a]C[4]H)(C[4]C[4]C[5])(C[5]C[5,6a]2)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2){1|C<4>,3|H<1>,6|C<3>}    C[4](C[4]C[6a]C[4]H)(C[4]C[4]C[5])(C[5]C[5,6a]2){1|H<1>,9|C<3>}   1.3486    0.0000    1     1.3486     0.0000    1
818    846     SP2_SP2    N    3:3:3:    4:3:3:    C[5,6a]-3:C[5,6a]-3:C[4]-3:     C[4]-4:C[5]-3:C[4]-3:     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2)    C[4](C[4]C[4,5]C[6a]H)(C[5]C[5,6a]2)(C[4]C[4,5]C)     C[5](C[5,6a]C[5,6a]C[6a])2(C[4]C[4]2){1|C<4>,3|H<1>,6|C<3>}    C[4](C[4]C[4,5]C[6a]H)(C[5]C[5,6a]2)(C[4]C[4,5]C){8|C<3>}   1.3546    0.0000    1     1.3546     0.0000    1
