863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:S-3_3  665_6953_0  749_2880_0  1.4434  0.0047  6  1.4434  0.0047  6  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:S-3_3  665_6953_0  749_2924_0  1.4344  0.0193  12  1.4344  0.0193  12  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:S-5_3  665_6953_0  749_2902_0  1.4631  0.0018  3  1.4631  0.0018  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:S-6_3  665_6953_0  749_2912_0  1.4659  0.0101  9  1.4659  0.0101  9  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:S-6_3  665_6953_0  749_2919_0  1.4630  0.0256  3  1.4630  0.0256  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_0:O-3:O-3:O-3  665_6947_0  749_2664_0  1.4487  0.0200  497  1.4487  0.0200  497  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_0:O-3:O-3:O-3  665_6947_0  749_2668_0  1.4661  0.0191  3  1.4661  0.0191  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_3:O-3:O-3:O-3  665_6947_0  749_2620_0  1.4364  0.0152  74  1.4364  0.0152  74  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_3:O-3:O-3:O-3  665_6947_0  749_2632_0  1.4494  0.0132  3  1.4494  0.0132  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_3:O-3:O-3:O-3  665_6947_0  749_2642_0  1.4567  0.0135  3  1.4567  0.0135  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_3:O-3:O-3:O-3  665_6947_0  749_2677_0  1.4443  0.0037  6  1.4443  0.0037  6  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_3:O-3:O-3:O-3  665_6947_0  749_2679_0  1.4328  0.0040  3  1.4328  0.0040  3  
