727    914     SP2_SP2    Y    3:2:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]){1|N<3>,1|S<1>,3|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|H<1>,1|N<3>,2|C<3>}   1.3531    0.0000    1     1.3531     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_2     C[5a,6](C[5a,6]C[5a,6]C[5a])(N[5a]N[5a])(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[5a,6]N)     C[5a,6](C[5a,6]C[5a,6]C[5a])(N[5a]N[5a])(N[6]C[6]){1|C<4>,1|H<1>,1|N<2>,2|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[5a,6]N){1|N<2>,1|N<3>,2|C<3>}   1.3708    0.0000    1     1.3708     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    N[5a,6]-2_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[5a,6]-2_2_2     C[5a,6](N[5a,6]N[5a]N[6])(N[6]C[5a,6])(N[5a]N[5a])    N[6](C[5a,6]C[5a,6]N[5a])(C[5a,6]N[5a,6]N[5a])     C[5a,6](N[5a,6]N[5a]N[6])(N[6]C[5a,6])(N[5a]N[5a]){1|C<3>,1|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[5a,6]N[5a,6]N[5a]){1|H<1>,2|C<3>,3|N<2>}   1.3365    0.0000    1     1.3365     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    N[5a,6]-2_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_2     C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6])    N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]N)     C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]){1|N<2>,2|C<3>,2|N<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]N){4|C<3>}   1.3621    0.0000    1     1.3621     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    N[5a,6]-2_2_2:N[6]-2_2:O[5a]-2_2     C[5a,6]-2_2_2:C[6]-3_2_2     C[5a,6](N[5a,6]C[5a]C[6])(O[5a]C[5a])(N[6]C[6])    N[6](C[5a,6]N[5a,6]O[5a])(C[6]C[6]C)     C[5a,6](N[5a,6]C[5a]C[6])(O[5a]C[5a])(N[6]C[6]){1|H<1>,2|C<3>,2|C<4>}    N[6](C[5a,6]N[5a,6]O[5a])(C[6]C[6]C){1|H<1>,3|C<3>}   1.2964    0.0000    1     1.2964     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    N[5a,6]-3_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6,6]-3_2_2     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6,6])    N[6](C[5a,6]N[5a,6]N[5a])(C[6,6]C[6,6]2)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6,6]){1|C<4>,2|C<3>,2|H<1>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6,6]C[6,6]2){1|N<2>,1|O<2>,2|C<4>,3|C<3>}   1.3775    0.0000    1     1.3775     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    N[5a,6]-3_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6,6]-3_2_2     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6,6])    N[6](C[5a,6]N[5a,6]N[5a])(C[6,6]C[6,6a]C[6,6])     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6,6]){1|C<4>,2|C<3>,2|H<1>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6,6]C[6,6a]C[6,6]){1|N<2>,1|O<2>,2|C<4>,3|C<3>}   1.3775    0.0000    1     1.3775     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:3:    N[5a,6]-3_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_2     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6])    N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]N)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]){1|C<3>,2|C<4>,2|N<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]N){1|C<3>,1|C<4>,1|H<1>,1|N<2>}   1.3597    0.0075    2     1.3597     0.0075    2
727    914     SP2_SP2    Y    3:3:2:    3:2:    C[5a,6]-3_2_2:C[5a]-2_2_2:N[6]-2_2     C[5a,6]-2_2_2:N[6]-2_2     C[5a,6](C[5a,6]C[5a]C[6])(C[5a]C[6a]O[5a])(N[6]N[6])    N[6](C[5a,6]C[5a,6]C[5a])(N[6]N[6])     C[5a,6](C[5a,6]C[5a]C[6])(C[5a]C[6a]O[5a])(N[6]N[6]){1|H<1>,1|N<3>,4|C<3>}    N[6](C[5a,6]C[5a,6]C[5a])(N[6]N[6]){1|O<2>,2|C<3>,2|C<4>}   1.3973    0.0000    1     1.3973     0.0000    1
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:C[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_2     C[5a,6](C[5a,6]N[5a]C[6])(C[5a]N[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]C[5a])(C[6]C[6a]N[6])     C[5a,6](C[5a,6]N[5a]C[6])(C[5a]N[5a]C)(N[6]C[6]){1|Cl<1>,1|C<3>,1|C<4>,1|H<1>,1|N<3>}    N[6](C[5a,6]C[5a,6]C[5a])(C[6]C[6a]N[6]){1|C<4>,1|H<1>,2|N<3>,3|C<3>}   1.3636    0.0000    1     1.3636     0.0000    1
