490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:N[4]-5_3_3:N[4]-5_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2{1|Al<5>,1|N<3>,1|S<2>}   1.8490    0.0030    2     1.8490     0.0030    2
490    996     SP3_SP3    N    4:1:1:1:    3:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[4,6a]-3_2_2:Ge[4]-3_2_2_2     C(Si[4]C[4,6a]Ge[4]C)(H)3    Si[4](C[4,6a]C[4,6a]C[6a])(Ge[4]C[4,6a]C[6a]2)(CH3)2     C(Si[4]C[4,6a]Ge[4]C)(H)3    Si[4](C[4,6a]C[4,6a]C[6a])(Ge[4]C[4,6a]C[6a]2)(CH3)2{1|H<1>,6|C<3>}   1.8720    0.0155    2     1.8720     0.0155    2
490    996     SP3_SP3    N    4:1:1:1:    3:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[4,6a]-3_2_2:Si[4]-3_3_3_2     C(Si[4]C[4,6a]Si[4]C)(H)3    Si[4](C[4,6a]C[4,6a]C[6a])(Si[4]C[4,6a]CC)(CH3)2     C(Si[4]C[4,6a]Si[4]C)(H)3    Si[4](C[4,6a]C[4,6a]C[6a])(Si[4]C[4,6a]CC)(CH3)2{1|Si<4>,2|C<3>}   1.8742    0.0031    4     1.8742     0.0031    4
490    996     SP3_SP3    N    4:1:1:1:    3:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_3_3_3:C[4]-3_2_0_0:N[4,6]-3_2_2     C(Si[4]N[4,6]C[4]C)(H)3    Si[4](N[4,6]C[4,6]C[6])(C[4]C[4,6]HH)(CC3)(CH3)     C(Si[4]N[4,6]C[4]C)(H)3    Si[4](N[4,6]C[4,6]C[6])(C[4]C[4,6]HH)(CC3)(CH3){1|C<4>,2|C<3>}   1.8388    0.0000    1     1.8388     0.0000    1
490    996     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[4]-3_2_2:Ge[4,4]-3_3_3_2     C(Si[4]Ge[4,4]C[4]C)(H)3    Si[4](Ge[4,4]Ge[4]Si[4]C[4])(C[4]C[6a]C[4])(CH3)2     C(Si[4]Ge[4,4]C[4]C)(H)3    Si[4](Ge[4,4]Ge[4]Si[4]C[4])(C[4]C[6a]C[4])(CH3)2{1|Ge<4>,2|Si<4>,2|C<4>,3|C<3>}   1.8713    0.0089    2     1.8713     0.0089    2
490    996     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[4]-3_2_2:Ge[4,4]-3_3_3_2     C(Si[4]Ge[4,4]C[4]C)(H)3    Si[4](Ge[4,4]Si[4]2C[4])(C[4]C[6a]C[4])(CH3)2     C(Si[4]Ge[4,4]C[4]C)(H)3    Si[4](Ge[4,4]Si[4]2C[4])(C[4]C[6a]C[4])(CH3)2{3|Si<4>,2|C<4>,3|C<3>}   1.8776    0.0026    2     1.8776     0.0026    2
490    996     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[4]-3_2_2_2:C[4]-3_3_2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[6a]2C[4])(C[4]C[4]C)(CH3)2     C(Si[4]C[4]2C)(H)3    Si[4](C[4]C[6a]2C[4])(C[4]C[4]C)(CH3)2{1|Si<4>,4|C<3>}   1.8681    0.0018    2     1.8681     0.0018    2
490    996     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:Si[4]-3_3_3_3:Si[4]-3_3_3     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Si[4]Si2)(Si[4]Si[4]Si)(CH3)2     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Si[4]Si2)(Si[4]Si[4]Si)(CH3)2{2|C<4>}   1.8940    0.0061    4     1.8940     0.0061    4
490    996     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[3,3,4,5]-10_3_3_3:N[4,6]-10_3_3     C(Si[4]C[3,3,4,5]N[4,6]C)(H)3    Si[4](C[3,3,4,5]Nb[5x3,4,6]C[3,3,5]2)(N[4,6]Nb[5x3,4,6]C[6])(CH3)2     C(Si[4]C[3,3,4,5]N[4,6]C)(H)3    Si[4](C[3,3,4,5]Nb[5x3,4,6]C[3,3,5]2)(N[4,6]Nb[5x3,4,6]C[6])(CH3)2{3|Cl<1>,1|N<4>,3|C<4>,4|H<1>}   1.8585    0.0076    2     1.8585     0.0076    2
490    996     SP3_SP3    N    4:1:1:1:    4:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[4]-3_3_0_0:N[4]-3_3_3     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Si[4]HH)(N[4]Si[4]Si)(CH3)2     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Si[4]HH)(N[4]Si[4]Si)(CH3)2{2|Fe<8>}   1.8676    0.0012    2     1.8676     0.0012    2
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[3,3,4,5]-12_3_3_3:C[3,3,4,5]-12_3_3_3     C(Si[4]C[3,3,4,5]2C)(H)3    Si[4](C[3,3,4,5]Nb[10x3,4]C[3,3,5]2)2(CH3)2     C(Si[4]C[3,3,4,5]2C)(H)3    Si[4](C[3,3,4,5]Nb[10x3,4]C[3,3,5]2)2(CH3)2{1|Cl<1>,1|N<2>,2|H<1>,6|C<4>}   1.8675    0.0054    6     1.8675     0.0054    6
