762  880  SP2_SP3  N  3:3:4:  3:3:4:4:  C[6]-2_2_0:N[6]-2_2_0:Si-3_3_2_2  C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2:C[6]-3_2_2  449_34693_1  787_1095_0  1.8965  0.0092  16  1.8965  0.0092  16  
762  880  SP2_SP3  N  3:3:4:  3:3:4:4:  C[6]-2_2_0:P[6]-3_2_2:Si-3_3_2_2  C-3_0_0_0:C-3_0_0_0:C[6a]-3_2_2:C[6]-3_3_2  449_36358_1  787_1098_0  1.8858  0.0000  1  1.8858  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:2:  C[6]-2_2_0:N[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2:O-3_3  449_22263_1  787_1093_0  1.9011  0.0003  2  1.9011  0.0003  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:3:  C[6]-2_2_0:N[6]-5_2_2:Si-3_3_2_2  C-3_0_0_0:C-3_0_0:C-3_3_0_0:C[6]-3_3_2  449_33746_1  787_1091_0  1.8856  0.0000  1  1.8856  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[5,6]-3_2_2:C[6]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_3324_1  787_1038_0  1.9357  0.0071  2  1.9357  0.0071  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[5,6]-3_3_2:C[6,6a]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_11497_1  787_1049_0  1.9046  0.0079  2  1.9046  0.0079  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[5,6]-6_3_2:C[6,6a]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_5417_1  787_1049_0  1.9130  0.0032  4  1.9130  0.0032  4  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[5a,6]-2_2_2:C[6]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_7042_1  787_1041_0  1.9067  0.0000  1  1.9067  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6,6]-2_2_2:C[6]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_10945_1  787_1043_0  1.9018  0.0176  4  1.9018  0.0176  4  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6,6]-3_3_2:P[3x6]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6,6]-3_3_2  446_6985_1  787_1030_0  1.8737  0.0000  1  1.8737  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6,6a]-2_2_2:C[6]-2_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_13587_1  787_1050_0  1.8982  0.0098  14  1.8982  0.0098  14  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6,6a]-2_2_2:C[6]-3_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_12201_1  787_1050_0  1.8776  0.0002  2  1.8776  0.0002  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6,6a]-2_2_2:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_11756_1  787_1050_0  1.9222  0.0000  1  1.9222  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6,6a]-2_2_2:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_11757_1  787_1050_0  1.9059  0.0000  1  1.9059  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:C[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_3_0_0:C[6]-3_2_2  449_21980_1  787_1052_0  1.8773  0.0029  2  1.8773  0.0029  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:C[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2:Si-3_3_3_2  449_21982_1  787_1056_0  1.8815  0.0000  1  1.8815  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:C[6]-3_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_28808_1  787_1054_0  1.8904  0.0127  3  1.8904  0.0127  3  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:C[6]-3_2_0:Si-3_3_3_2  C-3_3_3_0:C-3_3_3_0:C-3_3_3_0:C[6]-3_2_2  449_21980_2  787_1051_0  1.8890  0.0000  1  1.8890  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_26223_1  787_1054_0  1.9123  0.0225  5  1.9123  0.0225  5  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:C[6]-3_2_2:Si-3_3_3_2  C-3_3_3_0:C-3_3_3_0:C-3_3_3_0:C[6]-3_2_2  449_25748_1  787_1051_0  1.8882  0.0000  1  1.8882  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:Ga[6]-2_2_2:Si-3_3_3_2  C-3_3_3_0:C-3_3_3_0:C-3_3_3_0:C[6]-3_2_0  449_30584_1  787_1101_0  1.8588  0.0064  2  1.8588  0.0064  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:In[6]-3_2_2:Si-3_3_3_2  C-3_3_3_0:C-3_3_3_0:C-3_3_3_0:C[6]-3_2_0  449_30602_1  787_1102_0  1.8434  0.0004  2  1.8434  0.0004  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:N[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_22262_1  787_1094_0  1.8970  0.0000  1  1.8970  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:N[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_3_3_0:C[6]-3_3_2  449_33314_1  787_1090_0  1.9022  0.0000  1  1.9022  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:N[6]-5_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_3_0_0:C[6]-3_2_2  449_33746_1  787_1092_0  1.8878  0.0000  1  1.8878  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:P[5,6,6]-3_3_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_3_2  449_36179_1  787_1108_0  1.8788  0.0000  1  1.8788  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_0:P[6]-6_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_3_2  449_36280_1  787_1097_0  1.8878  0.0032  3  1.8878  0.0032  3  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_2:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_25886_1  787_1054_0  1.9014  0.0000  1  1.9014  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_2:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_26572_1  787_1054_0  1.8984  0.0000  1  1.8984  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-2_2_2:P[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_3_2  449_26704_1  787_1097_0  1.9154  0.0030  2  1.9154  0.0030  2  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-3_2_0:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_21854_1  787_1054_0  1.8889  0.0000  1  1.8889  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:4:4:4:  C[6]-3_2_2:C[6]-3_2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2  449_17936_1  787_1054_0  1.9075  0.0000  1  1.9075  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  4:3:3:4:  C[6]-2_2_0:C[6]-2_2_0:Si-3_3_2_2  C-3_0_0_0:C[6]-3_2_2:C[6]-3_2_2:C[6]-3_3_3_0  449_21981_1  787_1074_0  1.8867  0.0055  8  1.8867  0.0055  8  
762  880  SP2_SP3  N  3:4:4:  3:4:4:4:  C[4,6]-3_2_2:C[6]-3_2_0_0:Si-3_3_3_2  C-3_3_3_0:C-3_3_3_0:C-3_3_3_0:C[6]-3_3_2  449_1350_1  787_1037_0  1.8894  0.0046  3  1.8894  0.0046  3  
762  880  SP2_SP3  N  3:4:4:  3:4:4:4:  C[6]-11_3_2_2:C[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_3_2  449_18649_1  787_1054_0  1.8925  0.0068  8  1.8925  0.0068  8  
762  880  SP2_SP3  N  3:4:4:  3:4:4:4:  C[6]-13_3_2_2:C[6]-2_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_3_2  449_18651_1  787_1054_0  1.8788  0.0062  4  1.8788  0.0062  4  
762  880  SP2_SP3  N  3:4:4:  3:4:4:4:  C[6]-2_2_2:C[6]-3_3_2_0:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_3_2  449_26463_1  787_1054_0  1.9011  0.0000  1  1.9011  0.0000  1  
762  880  SP2_SP3  N  4:2:2:  3:3:2:1:  C[6]-2_1:C[6]-2_1:Si-3_2_2_0  C-3:C[6]-3_1_1:C[6]-3_1_1:O-5_3  449_36531_1  787_1058_0  1.8730  0.0076  2  1.8730  0.0076  2  
762  880  SP2_SP3  N  4:2:2:  3:3:3:2:  C[6]-2_1:C[6]-2_1:Si-3_2_2_2  C[6]-3_1_1:C[6]-3_1_1:C[6]-3_1_1:O-5_3  449_36530_1  787_1059_0  1.8757  0.0014  3  1.8757  0.0014  3  
762  880  SP2_SP3  N  4:3:2:  3:3:3:4:  C[6]-2_2_0:C[6]-2_2:Si-3_2_2_2  C-16_3_3_3:C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_1  449_36533_1  787_1360_0  1.8934  0.0000  1  1.8934  0.0000  1  
762  880  SP2_SP3  N  4:3:3:  3:3:3:3:  C[6]-2_1_0:C[6]-2_2_0:Si-3_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2:O[4]-3_0_0  449_36540_1  787_1394_0  1.8764  0.0000  1  1.8764  0.0000  1  
762  880  SP2_SP3  N  4:3:3:  3:3:3:3:  C[6]-2_2_0:N[6]-2_2_0:Si-2_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2  449_36538_1  787_1503_0  1.8795  0.0069  2  1.8795  0.0069  2  
762  880  SP2_SP3  N  4:3:3:  3:3:3:3:  C[6]-2_2_0:N[6]-2_2_0:Si-2_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2  449_36539_1  787_1503_0  1.8820  0.0023  2  1.8820  0.0023  2  
762  880  SP2_SP3  N  4:3:3:  3:3:3:3:  C[6]-2_2_0:N[6]-6_2_2:Si-2_2_2_2  C[6a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:C[6]-3_2_2  449_36544_1  787_1096_0  1.8776  0.0097  3  1.8776  0.0097  3  
762  880  SP2_SP3  N  4:3:3:  3:3:3:4:  C[6]-2_1_0:C[6]-2_1_0:Si-3_2_2_2  C-16_3_3_3:C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2  449_36534_1  787_1360_0  1.8990  0.0000  1  1.8990  0.0000  1  
762  880  SP2_SP3  N  4:3:3:  3:3:3:4:  C[6]-2_1_0:C[6]-2_2_0:Si-3_2_2_2  C[6a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:Si-3_3_3_2  449_36547_1  787_1238_0  1.8683  0.0097  2  1.8683  0.0097  2  
762  880  SP2_SP3  N  4:3:3:  3:3:3:4:  C[6]-2_2_0:C[6]-3_2_0:Si-3_2_2_2  C-3_0_0_0:C[6a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2  449_36546_1  787_1237_0  1.8859  0.0085  4  1.8859  0.0085  4  
762  880  SP2_SP3  N  4:3:3:  3:3:4:3:  C[6]-2_1_0:C[6]-2_2_0:Si-3_2_2_2  C-3_0_0_0:C-3_3_3:C[6a]-3_2_2:C[6]-3_2_2  449_36543_1  787_1235_0  1.8402  0.0000  1  1.8402  0.0000  1  
762  880  SP2_SP3  N  4:3:3:  3:3:4:3:  C[6]-2_1_0:C[6]-2_2_0:Si-3_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2:C[6]-3_3_2_0  449_36536_1  787_1361_0  1.8905  0.0000  1  1.8905  0.0000  1  
762  880  SP2_SP3  N  4:3:3:  3:3:4:4:  C[6]-2_2_0:C[6]-2_2_0:Si-3_3_2_2  C-3_0_0_0:C-3_0_0_0:C[6a]-3_2_2:C[6]-3_2_2  449_36542_1  787_1236_0  1.8854  0.0044  2  1.8854  0.0044  2  
762  880  SP2_SP3  N  4:3:3:  4:3:3:3:  C[6]-2_1_0:C[6]-2_2_0:Si-3_2_2_2  C[5]-10_3_3_3:C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2  449_36535_1  787_805_0  1.8802  0.0000  1  1.8802  0.0000  1  
