958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[4a]-1_1_0:H-0_0     H(OC[4a])2    O(C[4a]C[4a]2)(HO)     H(OC[4a])2    O(C[4a]C[4a]2)(HO)   1.2308    0.1709    6     1.2308     0.1709    6
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[5]-0_0_0:H-0_0     H(OC[5])(OC[6])    O(C[5]C[5]N[5])(HO)     H(OC[5])(OC[6])    O(C[5]C[5]N[5])(HO)   1.4427    0.0000    1     1.4427     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6,6]-1_0_0:H-0_0     H(OC[6,6])2    O(C[6,6]C[3x6]C[6,6])(HO)     H(OC[6,6])2    O(C[6,6]C[3x6]C[6,6])(HO)   1.1908    0.0067    2     1.1908     0.0067    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_0_0:H-0_0     H(OC[6])(OC)    O(C[6]C[6]N[6])(HO)     H(OC[6])(OC)    O(C[6]C[6]N[6])(HO)   1.3591    0.0827    2     1.3591     0.0827    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_0_0:H-0_0     H(OC[6])2    O(C[6]C[6]N[6])(HO)     H(OC[6])2    O(C[6]C[6]N[6])(HO)   1.2775    0.1059    6     1.2775     0.1059    6
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_1_0:H-0_0     H(OC[5])(OC[6])    O(C[6]C[6]2)(HO)     H(OC[5])(OC[6])    O(C[6]C[6]2)(HO)   1.0455    0.0000    1     1.0455     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_1_0:H-0_0     H(OC[6])(OC)    O(C[6]C[6,6a]C[6,6])(HO)     H(OC[6])(OC)    O(C[6]C[6,6a]C[6,6])(HO)   1.1889    0.0000    1     1.1889     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_1_0:H-0_0     H(OC[6])(OC)    O(C[6]C[6,6a]C[6])(HO)     H(OC[6])(OC)    O(C[6]C[6,6a]C[6])(HO)   1.4027    0.0000    1     1.4027     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_1_0:H-0_0     H(OC[6])(OC)    O(C[6]C[6]2)(HO)     H(OC[6])(OC)    O(C[6]C[6]2)(HO)   1.1593    0.0868    3     1.1593     0.0868    3
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_1_0:H-0_0     H(OC[6])2    O(C[6]C[6,6a]C[5,6])(HO)     H(OC[6])2    O(C[6]C[6,6a]C[5,6])(HO)   1.2522    0.0957    2     1.2522     0.0957    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6]-1_1_0:H-0_0     H(OC[6])2    O(C[6]C[6]2)(HO)     H(OC[6])2    O(C[6]C[6]2)(HO)   1.2321    0.1318    9     1.2321     0.1318    9
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6a]-1_1_0:H-0_0     H(OC[6a])(OC)    O(C[6a]C[6a]2)(HO)     H(OC[6a])(OC)    O(C[6a]C[6a]2)(HO)   1.1953    0.1411    4     1.1953     0.1411    4
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6a]-1_1_0:H-0_0     H(OC[6a])(OP)    O(C[6a]C[6a]2)(HO)     H(OC[6a])(OP)    O(C[6a]C[6a]2)(HO)   1.1930    0.0000    1     1.1930     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6a]-1_1_0:H-0_0     H(OC[6a])2    O(C[6a]C[6a,6a]C[6a])(HO)     H(OC[6a])2    O(C[6a]C[6a,6a]C[6a])(HO)   1.2215    0.1138    2     1.2215     0.1138    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[6a]-1_1_0:H-0_0     H(OC[6a])2    O(C[6a]C[6a]2)(HO)     H(OC[6a])2    O(C[6a]C[6a]2)(HO)   1.2291    0.1255    19     1.2291     0.1255    19
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-2_0     C-1_1_0:H-0_0     H(OC)2    O(CC[6a]O)(HO)     H(OC)2    O(CC[6a]O)(HO)   1.2325    0.1306    258     1.2325     0.1306    258
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-0_0     C-1_1_0_0:H-0_0     H(OC)2    O(CC[6a]2C[5])(HO)     H(OC)2    O(CC[6a]2C[5])(HO)   1.2347    0.2185    2     1.2347     0.2185    2
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-0_0     H-0_0:S-1_1_0_0     H(OS)2    O(SCOO)(HO)     H(OS)2    O(SCOO)(HO)   1.2413    0.1969    2     1.2413     0.1969    2
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-0_0     H-0_0:S-1_1_0_0     H(OS)2    O(SO3)(HO)     H(OS)2    O(SO3)(HO)   1.2562    0.1403    9     1.2562     0.1403    9
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-0_0     H-0_0:S-1_1_1_0     H(OS)2    O(SC[6a]OO)(HO)     H(OS)2    O(SC[6a]OO)(HO)   1.2258    0.0000    1     1.2258     0.0000    1
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-1_0     C-0_0_0_0:H-0_0     H(OC)(OP)    O(CH3)(HO)     H(OC)(OP)    O(CH3)(HO)   1.3257    0.0000    1     1.3257     0.0000    1
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-1_0     H-0_0:N[3x6]-0_0_0_0     H(ON[3x6])(OC)    O(N[3x6]C[6,6]3)(HO)     H(ON[3x6])(OC)    O(N[3x6]C[6,6]3)(HO)   1.2463    0.0121    7     1.2463     0.0121    7
958    960     SP-NON_SP3    N    2:2:    4:2:    O-0_0:O-1_0     H-0_0:S-1_1_1_0     H(OC)(OS)    O(SO3)(HO)     H(OC)(OS)    O(SO3)(HO)   1.3403    0.0000    1     1.3403     0.0000    1
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-0_0_0_0     H(OP)2    O(PCOO)(HO)     H(OP)2    O(PCOO)(HO)   1.2345    0.0651    20     1.2345     0.0651    20
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_0_0_0     H(OC)(OP)    O(PO3)(HO)     H(OC)(OP)    O(PO3)(HO)   1.2564    0.0789    27     1.2564     0.0789    27
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_0_0_0     H(OP[6])(OP)    O(PCOO)(HO)     H(OP[6])(OP)    O(PCOO)(HO)   1.1801    0.0000    1     1.1801     0.0000    1
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_0_0     H(OC)(OP)    O(PCOO)(HO)     H(OC)(OP)    O(PCOO)(HO)   1.1659    0.0486    2     1.1659     0.0486    2
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_0_0     H(OP)2    O(PC[6]OO)(HO)     H(OP)2    O(PC[6]OO)(HO)   1.2423    0.0618    2     1.2423     0.0618    2
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_0_0     H(OP)2    O(PC[6a]2O)(HO)     H(OP)2    O(PC[6a]2O)(HO)   1.1513    0.1180    3     1.1513     0.1180    3
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_0_0     H(OP)2    O(PO3)(HO)     H(OP)2    O(PO3)(HO)   1.2453    0.1456    14     1.2453     0.1456    14
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_1_0     H(OC[6a])(OP)    O(PC[6a]3)(HO)     H(OC[6a])(OP)    O(PC[6a]3)(HO)   1.4398    0.0000    1     1.4398     0.0000    1
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_1_0     H(OP)2    O(PC[6a]2C)(HO)     H(OP)2    O(PC[6a]2C)(HO)   1.1969    0.0091    3     1.1969     0.0091    3
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_1_0     H(OP)2    O(PC[6a]3)(HO)     H(OP)2    O(PC[6a]3)(HO)   1.2122    0.0072    2     1.2122     0.0072    2
