474    542     3:2:4:1:    4:3:4:    N[5]-3:S[5]-2:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](N[5]C[5]C)(S[5]C[5])(CCCH)(H)    N[5](C[5]S[5]CH)(C[5]C[5]O)(CC[6a]HH)     C[5](N[5]C[5]C)(S[5]C[5])(CCCH)(H){1|O<1>,2|H<1>}    N[5](C[5]S[5]CH)(C[5]C[5]O)(CC[6a]HH){2|H<1>}   1.4622    0.0029    2     1.4622     0.0029    2
474    542     3:2:4:1:    4:4:3:    N[5,6]-3:O[6]-2:C[5]-4:H-1:     C[5,6]-4:C[5]-4:C[6]-3:     Y    C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[5]O[6]H)(C[5]C[6a]C[5]H)(C[6]C[6,6a]O)     C[5,6](N[5,6]C[5]C[6])(O[6]C[6,6a])(C[5]C[5]HH)(H){1|O<1>,3|C<3>,3|H<1>}    N[5,6](C[5,6]C[5]O[6]H)(C[5]C[6a]C[5]H)(C[6]C[6,6a]O){4|C<3>,4|H<1>}   1.4505    0.0000    1     1.4505     0.0000    1
474    542     3:2:4:1:    4:4:3:    N[5,6]-3:S[6]-2:C[5]-4:H-1:     C[5,6]-4:C[6]-4:C[5]-3:     Y    C[5,6](N[5,6]C[5]C[6])(S[6]C[6,6a])(C[5]N[5]CC)(H)    N[5,6](C[5,6]C[5]S[6]H)(C[6]C[6,6a]HH)(C[5]N[5]O)     C[5,6](N[5,6]C[5]C[6])(S[6]C[6,6a])(C[5]N[5]CC)(H){1|C<4>,1|O<1>,2|C<3>,2|H<1>}    N[5,6](C[5,6]C[5]S[6]H)(C[6]C[6,6a]HH)(C[5]N[5]O){2|C<3>,3|C<4>}   1.4529    0.0000    1     1.4529     0.0000    1
474    542     3:2:4:1:    4:4:3:    N[5]-3:O[5]-2:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](N[5]C[5]C)(O[5]C[5])(CC3)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CH)(CC[6a]O)     C[5](N[5]C[5]C)(O[5]C[5])(CC3)(H){1|C<4>,1|H<1>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]O[5]CH)(CC[6a]O){1|O<1>}   1.4720    0.0010    2     1.4720     0.0010    2
474    542     3:2:4:1:    4:4:3:    N[5]-3:O[5]-2:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](N[5]C[5]C)(O[5]C[5])(CC3)(H)    N[5](C[5]C[5]HS)(C[5]O[5]CH)(CCO)     C[5](N[5]C[5]C)(O[5]C[5])(CC3)(H){1|H<1>,1|O<1>,1|S<2>}    N[5](C[5]C[5]HS)(C[5]O[5]CH)(CCO){1|O<1>}   1.4711    0.0000    1     1.4711     0.0000    1
474    542     3:2:4:1:    4:4:3:    N[5]-3:O[5]-2:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](N[5]C[5]C)(O[5]C[5])(CCHH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CH)(COO)     C[5](N[5]C[5]C)(O[5]C[5])(CCHH)(H){1|C<4>,1|H<1>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]O[5]CH)(COO){1|O<1>}   1.4578    0.0000    1     1.4578     0.0000    1
474    542     3:2:4:1:    4:4:3:    N[5]-3:O[5]-2:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](N[5]C[5]C)(O[5]C[5])(CF3)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CH)(CCO)     C[5](N[5]C[5]C)(O[5]C[5])(CF3)(H){1|C<3>,3|H<1>}    N[5](C[5]C[5]CH)(C[5]O[5]CH)(CCO){2|H<1>}   1.4479    0.0000    1     1.4479     0.0000    1
474    542     3:2:4:3:    3:4:4:    N[5]-3:S[5]-2:C[5]-4:C[5]-3:     C[5,6a]-3:C[5,5]-4:C-4:     Y    C[5,5](N[5]C[5,6a]C)(S[5]C[5,6a])(C[5]C[5]CC)(C[5]N[5]C)    N[5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]2S[5])(CCHH)     C[5,5](N[5]C[5,6a]C)(S[5]C[5,6a])(C[5]C[5]CC)(C[5]N[5]C){1|N<2>,3|C<3>}    N[5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]2S[5])(CCHH){1|C<4>,1|H<1>,1|N<3>,5|C<3>}   1.4543    0.0000    1     1.4543     0.0000    1
474    542     3:2:4:3:    4:3:4:    N[5,5]-3:O[5]-2:C-4:C-3:     C[5,5]-4:C[5]-3:C[5]-4:     Y    C[5](N[5,5]C[5,5]C[5])(O[5]C[5])(CH3)(CCO)    N[5,5](C[5,5]C[5]2C)(C[5]C[5,5]O)(C[5]O[5]CC)     C[5](N[5,5]C[5,5]C[5])(O[5]C[5])(CH3)(CCO){1|C<3>,1|O<1>,2|C<4>,2|H<1>}    N[5,5](C[5,5]C[5]2C)(C[5]C[5,5]O)(C[5]O[5]CC){1|C<3>,1|C<4>,4|H<1>}   1.4647    0.0084    2     1.4647     0.0084    2
474    542     3:2:4:3:    4:3:4:    N[5,6]-3:O[6,6]-2:C[5]-4:C[6]-3:     C[5,6,6]-4:C[6,6a]-3:C[5]-4:     Y    C[5,6,6](N[5,6]C[6,6a]C[5])(O[6,6]C[3x6])(C[5]C[5]HH)(C[6]C[6]H)    N[5,6](C[5,6,6]O[6,6]C[5]C[6])(C[6,6a]C[6,6,6a]C[6a])(C[5]C[5]HH)     C[5,6,6](N[5,6]C[6,6a]C[5])(O[6,6]C[3x6])(C[5]C[5]HH)(C[6]C[6]H){2|C<3>,2|C<4>,4|H<1>}    N[5,6](C[5,6,6]O[6,6]C[5]C[6])(C[6,6a]C[6,6,6a]C[6a])(C[5]C[5]HH){1|C<4>,3|C<3>,5|H<1>}   1.4530    0.0000    1     1.4530     0.0000    1
