670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|N<3>}   1.3380    0.0104    12     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|O<2>}   1.3318    0.0078    27     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|S<2>}   1.3418    0.0060    3     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<4>,1|N<2>,1|N<3>}   1.3333    0.0068    14     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<4>,2|C<3>}   1.3430    0.0061    12     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|C<3>,1|C<4>}   1.3280    0.0039    9     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|C<3>,1|N<3>}   1.3381    0.0099    26     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|C<3>,1|O<2>}   1.3370    0.0011    2     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|Cl<1>,1|N<2>,1|N<3>}   1.3207    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|H<1>,1|N<2>,1|N<3>}   1.3266    0.0097    3     1.3354     0.0099    403
