818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6]-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6]O)    S(C[5a]C[5a,6a]C[5a])(C[6]C[6]2H)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6]O){1|C<4>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6]C[6]2H)(O)   1.7736    0.0000    1     1.7637     0.0063    9
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6]-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6]O)    S(C[5a]C[5a,6a]C[5a])(C[6]C[6]2H)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6]O){1|H<1>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6]C[6]2H)(O)   1.7625    0.0054    8     1.7637     0.0063    9
818    969     4:3:3:    3:3:1:    C[5]-4:C[5]-3:S-3:     C[6a]-3:C[5]-3:O-1:     N    C[5](C[5]C[6a]N[5]H)(C[5]C[5]H)(SC[6a]O)    S(C[6a]C[6a]2)(C[5]C[5]2)(O)     C[5](C[5]C[6a]N[5]H)(C[5]C[5]H)(SC[6a]O){1|C<4>,1|H<1>,1|S<4>,2|C<3>}    S(C[6a]C[6a]2)(C[5]C[5]2)(O)   1.7785    0.0066    2     1.7785     0.0066    2
818    971     2:2:2:    3:3:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-3:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(OC)    O(C[5]N[5]S[5])(CC[6a]C[5])     C[5](N[5]C[5,6a])(S[5]C[5,6a])(OC){2|C<3>}    O(C[5]N[5]S[5])(CC[6a]C[5])   1.3641    0.0000    1     1.3641     0.0000    1
818    971     2:2:2:    3:3:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-3:     N    C[5](N[5]N[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CC[6a]O)     C[5](N[5]N[5])(S[5]C[5])(OC){1|C<3>}    O(C[5]N[5]S[5])(CC[6a]O)   1.2115    0.0000    1     1.2115     0.0000    1
818    971     2:2:2:    3:3:    N[5a]-2:N[5a]-2:O-2:     C[5a]-3:C[6a]-3:     N    C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(OC[6a])    O(C[5a]N[5a]2)(C[6a]C[6a]2)     C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(OC[6a]){1|C<3>,1|N<2>}    O(C[5a]N[5a]2)(C[6a]C[6a]2)   1.3510    0.0038    2     1.3485     0.0051    3
818    971     2:2:2:    3:3:    N[5a]-2:N[5a]-2:O-2:     C[5a]-3:C[6a]-3:     N    C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(OC[6a])    O(C[5a]N[5a]2)(C[6a]C[6a]2)     C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(OC[6a]){1|C<3>,1|N<3>}    O(C[5a]N[5a]2)(C[6a]C[6a]2)   1.3435    0.0000    1     1.3485     0.0051    3
818    971     2:2:2:    3:3:    N[5a]-2:N[5a]-2:O-2:     C[5a]-3:C[6a]-3:     N    C[5a](N[5a]N[5a])2(OC[6a])    O(C[5a]N[5a]2)(C[6a]C[6a]2)     C[5a](N[5a]N[5a])2(OC[6a]){1|C<4>}    O(C[5a]N[5a]2)(C[6a]C[6a]2)   1.3389    0.0000    1     1.3389     0.0000    1
818    971     2:2:2:    3:4:    N[5]-2:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(O[5]C[5])(OC)    O(C[5]N[5]O[5])(CC[6a]HH)     C[5](N[5]C[5])(O[5]C[5])(OC){1|C<3>,1|C<4>,2|H<1>}    O(C[5]N[5]O[5])(CC[6a]HH)   1.3291    0.0000    1     1.3291     0.0000    1
818    971     2:2:2:    3:4:    N[5]-2:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(O[5]C[5])(OC)    O(C[5]N[5]O[5])(CCCH)     C[5](N[5]N[5])(O[5]C[5])(OC){3|C<3>}    O(C[5]N[5]O[5])(CCCH)   1.3184    0.0000    1     1.3184     0.0000    1
