818    972     3:4:3:    4:3:4:    N[6,6]-3:C[5,6]-4:C[5]-3:     C[6,6]-4:C[5,6]-3:C[3x6]-4:     Y    C[5,6](N[6,6]C[3x6]C[6,6])(C[5,6]C[5]C[6]H)(C[5]C[5]H)    N[6,6](C[6,6]N[6,6]C[6]H)(C[5,6]C[5,6]C[5])(C[3x6]C[6,6]2H)     C[5,6](N[6,6]C[3x6]C[6,6])(C[5,6]C[5]C[6]H)(C[5]C[5]H){1|N<3>,1|O<1>,3|C<4>,6|H<1>}    N[6,6](C[6,6]N[6,6]C[6]H)(C[5,6]C[5,6]C[5])(C[3x6]C[6,6]2H){1|C<3>,6|H<1>,7|C<4>}   1.3511    0.0000    1     1.3511     0.0000    1
818    972     4:3:2:    3:3:3:    C[5]-4:N[6]-3:N[5]-2:     C[5]-3:C[6]-3:C[6]-3:     N    C[5](C[5]C[5]HH)(N[6]C[6]2)(N[5]C[5])    N[6](C[5]C[5]N[5])(C[6]C[6]H)2     C[5](C[5]C[5]HH)(N[6]C[6]2)(N[5]C[5]){2|C<3>,6|H<1>}    N[6](C[5]C[5]N[5])(C[6]C[6]H)2{1|C<3>,2|C<4>,4|H<1>}   1.4474    0.0071    2     1.4474     0.0071    2
818    972     4:3:2:    3:3:4:    C[3,5,6]-4:N[6]-3:N[5]-2:     C[6,6a]-3:C[5,6]-3:S-4:     Y    C[5,6](C[3,5,6]C[5,6a]C[3,6]C[3])(N[6]C[6,6a]S)(N[5]C[5,6a])    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[3,5,6]N[5])(SC[6a]OO)     C[5,6](C[3,5,6]C[5,6a]C[3,6]C[3])(N[6]C[6,6a]S)(N[5]C[5,6a]){2|H<1>,5|C<3>}    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[3,5,6]N[5])(SC[6a]OO){1|H<1>,2|C<4>,4|C<3>}   1.4093    0.0000    1     1.4093     0.0000    1
818    972     4:3:2:    3:3:4:    C[5,6]-4:N[6]-3:N[5]-2:     C[6,6a]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[5,6a]C[6]C)(N[6]C[6,6a]C)(N[5]C[5,6a])    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5])(CC[6a]HH)     C[5,6](C[5,6]C[5,6a]C[6]C)(N[6]C[6,6a]C)(N[5]C[5,6a]){1|O<1>,4|C<3>}    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5])(CC[6a]HH){1|C<4>,1|H<1>,5|C<3>}   1.3795    0.0011    2     1.3795     0.0011    2
818    972     4:3:2:    3:3:4:    C[5,6]-4:N[6]-3:N[5]-2:     C[6,6a]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[5,6a]C[6]C)(N[6]C[6,6a]C)(N[5]C[5,6a])    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5])(CH3)     C[5,6](C[5,6]C[5,6a]C[6]C)(N[6]C[6,6a]C)(N[5]C[5,6a]){1|O<1>,4|C<3>}    N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5])(CH3){1|C<4>,1|H<1>,5|C<3>}   1.3659    0.0011    2     1.3659     0.0011    2
818    972     4:3:2:    3:4:1:    C[5,6]-4:N[6]-3:N[5]-2:     C[5,6]-3:C[6]-4:H-1:     Y    C[5,6](C[5,6]C[5]C[6]C)(N[6]C[6]H)(N[5]C[5])    N[6](C[5,6]C[5,6]N[5])(C[6]C[6]HH)(H)     C[5,6](C[5,6]C[5]C[6]C)(N[6]C[6]H)(N[5]C[5]){2|C<4>,7|H<1>}    N[6](C[5,6]C[5,6]N[5])(C[6]C[6]HH)(H){1|C<2>,2|H<1>,3|C<4>}   1.3600    0.0000    1     1.3600     0.0000    1
818    972     4:3:3:    3:3:4:    C[5,6]-4:C[5]-3:N[6]-3:     C[5,6]-3:C[6]-3:C-4:     Y    C[5,6](C[5,6]C[5]C[6]C)(C[5]C[5]H)(N[6]C[6]C)    N[6](C[5,6]C[5,6]C[5])(C[6]C[6]O)(CCHH)     C[5,6](C[5,6]C[5]C[6]C)(C[5]C[5]H)(N[6]C[6]C){1|C<4>,1|O<1>,6|H<1>}    N[6](C[5,6]C[5,6]C[5])(C[6]C[6]O)(CCHH){1|C<3>,2|H<1>,4|C<4>}   1.4071    0.0000    1     1.4071     0.0000    1
818    972     4:3:3:    3:3:4:    C[5,6]-4:C[5]-3:N[6]-3:     C[5,6]-3:C[6]-3:C-4:     Y    C[5,6](C[5,6]C[5]C[6]C)(C[5]C[5]H)(N[6]C[6]C)    N[6](C[5,6]C[5,6]C[5])(C[6]C[6]O)(CC[6a]CH)     C[5,6](C[5,6]C[5]C[6]C)(C[5]C[5]H)(N[6]C[6]C){1|C<3>,1|O<1>,3|C<4>,3|H<1>}    N[6](C[5,6]C[5,6]C[5])(C[6]C[6]O)(CC[6a]CH){3|H<1>,4|C<4>}   1.4184    0.0000    1     1.4184     0.0000    1
818    972     4:3:3:    3:4:1:    C[5,3x6]-4:N[6,6]-3:C[5]-3:     C[5,6,6]-3:C[3x6]-4:H-1:     Y    C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]H)(C[5]C[5]H)    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(H)     C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]H)(C[5]C[5]H){1|H<1>,5|C<3>}    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(H){1|H<1>,1|S<2>,5|C<3>}   1.2929    0.0000    1     1.2929     0.0000    1
818    972     4:3:3:    3:4:1:    C[5,3x6]-4:N[6,6]-3:C[5]-3:     C[5,6,6]-3:C[3x6]-4:O-1:     Y    C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]O)(C[5]C[5]H)    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(O)     C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]O)(C[5]C[5]H){1|H<1>,5|C<3>}    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(O){1|H<1>,1|S<2>,5|C<3>}   1.3071    0.0062    2     1.3071     0.0062    2
818    972     4:3:3:    3:4:2:    C[5,3x6]-4:N[6,6]-3:C[5]-3:     C[5,6,6]-3:C[3x6]-4:O-2:     Y    C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]O)(C[5]C[5]H)    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(OB)     C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]O)(C[5]C[5]H){1|H<1>,5|C<3>}    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(OB){1|H<1>,1|S<2>,5|C<3>}   1.2973    0.0011    2     1.2973     0.0011    2
818    972     4:3:3:    3:4:3:    C[5,6]-4:C[5,6]-3:N[6,6]-3:     C[5,6,6]-3:C[6]-4:C[6]-3:     Y    C[5,6,6](C[5,6]C[5]C[6]C)(C[5,6]C[5]C[6])(N[6,6]C[6]2)    N[6,6](C[5,6,6]C[5,6]2)(C[6]C[6]HH)(C[6]C[6]O)     C[5,6,6](C[5,6]C[5]C[6]C)(C[5,6]C[5]C[6])(N[6,6]C[6]2){10|H<1>,1|O<1>,2|C<4>}    N[6,6](C[5,6,6]C[5,6]2)(C[6]C[6]HH)(C[6]C[6]O){1|C<3>,3|H<1>,5|C<4>}   1.3986    0.0000    1     1.3986     0.0000    1
818    972     4:3:3:    3:4:4:    C[5,3x6]-4:N[6,6]-3:C[5]-3:     C[5,6,6]-3:C[3x6]-4:B-4:     Y    C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]B)(C[5]C[5]H)    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(BC[6a]3)     C[5,6,6](C[5,3x6]C[6,6,6a]2S[5])(N[6,6]C[3x6]B)(C[5]C[5]H){1|H<1>,5|C<3>}    N[6,6](C[5,6,6]C[5,3x6]C[5])(C[3x6]C[6,6,6a]2H)(BC[6a]3){1|H<1>,1|S<2>,5|C<3>}   1.3063    0.0000    1     1.3063     0.0000    1
818    972     4:3:3:    3:4:4:    C[5,5,6]-4:C[5,6,6]-3:N[6]-3:     C[5,6,6]-3:C[6]-4:S-4:     Y    C[5,6,6](C[5,5,6]C[5,6]O[5,5]C)(C[5,6,6]C[5,5,6]C[6])(N[6]C[6]S)    N[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]HH)(SC[6a]OO)     C[5,6,6](C[5,5,6]C[5,6]O[5,5]C)(C[5,6,6]C[5,5,6]C[6])(N[6]C[6]S){1|C<3>,2|C<4>,5|H<1>}    N[6](C[5,6,6]C[5,5,6]C[5,6,6])(C[6]C[6]HH)(SC[6a]OO){1|C<3>,1|O<2>,2|H<1>,3|C<4>}   1.4210    0.0000    1     1.4210     0.0000    1
818    972     4:3:3:    3:4:4:    C[5,6]-4:C[5]-3:N[6]-3:     C[5,6]-3:C[6]-4:C-4:     Y    C[5,6](C[5,6]C[6]N[5]H)(C[5]C[5]C)(N[6]C[6]C)    N[6](C[5,6]C[5,6]C[5])(C[6]C[6]HH)(CC[6a]HH)     C[5,6](C[5,6]C[6]N[5]H)(C[5]C[5]C)(N[6]C[6]C){1|O<1>,2|C<4>,4|H<1>}    N[6](C[5,6]C[5,6]C[5])(C[6]C[6]HH)(CC[6a]HH){1|C<4>,1|N<3>,2|C<3>,3|H<1>}   1.3400    0.0138    2     1.3400     0.0138    2
818    972     4:3:3:    4:4:3:    C[5]-4:C[5]-3:N[6]-3:     C[6]-4:C[6]-4:C[5]-3:     N    C[5](C[5]O[5]HO)(C[5]C[5]Cl)(N[6]C[6]2)    N[6](C[6]C[6]HH)2(C[5]C[5]2)     C[5](C[5]O[5]HO)(C[5]C[5]Cl)(N[6]C[6]2){1|O<1>,2|C<4>,4|H<1>}    N[6](C[6]C[6]HH)2(C[5]C[5]2){1|Cl<1>,1|C<3>,1|C<4>,2|O<2>,5|H<1>}   1.3276    0.0000    1     1.3330     0.0077    2
818    972     4:3:3:    4:4:3:    C[5]-4:C[5]-3:N[6]-3:     C[6]-4:C[6]-4:C[5]-3:     N    C[5](C[5]O[5]HO)(C[5]C[5]Cl)(N[6]C[6]2)    N[6](C[6]C[6]HH)2(C[5]C[5]2)     C[5](C[5]O[5]HO)(C[5]C[5]Cl)(N[6]C[6]2){1|O<1>,2|C<4>,4|H<1>}    N[6](C[6]C[6]HH)2(C[5]C[5]2){1|Cl<1>,1|C<3>,1|N<3>,2|O<2>,5|H<1>}   1.3384    0.0000    1     1.3330     0.0077    2
818    972     4:4:3:    4:4:3:    C[5]-4:C[5]-4:N[6]-3:     C[6]-4:C[6]-4:C[5]-3:     N    C[5](C[5]C[5]BH)(C[5]C[5]HH)(N[6]C[6]2)    N[6](C[6]C[6]HH)2(C[5]C[5]2)     C[5](C[5]C[5]BH)(C[5]C[5]HH)(N[6]C[6]2){2|C<4>,8|H<1>}    N[6](C[6]C[6]HH)2(C[5]C[5]2){1|B<4>,3|C<4>,7|H<1>}   1.3015    0.0000    1     1.3015     0.0000    1
818    977     3:2:2:    3:3:    C[5,6]-3:P[6]-2:S[5]-2:     C[5,6]-3:C[6]-3:     Y    C[5,6](C[5,6]C[5,6]C[5])(P[6]C[6])(S[5]C[5])    P[6](C[5,6]C[5,6]S[5])(C[6]C[5,6]C[6a])     C[5,6](C[5,6]C[5,6]C[5])(P[6]C[6])(S[5]C[5]){2|H<1>,3|C<3>}    P[6](C[5,6]C[5,6]S[5])(C[6]C[5,6]C[6a]){1|S<2>,5|C<3>}   1.7513    0.0000    1     1.7513     0.0000    1
818    977     3:3:2:    3:3:    C[5,6]-3:C[5]-3:P[6]-2:     C[5,6]-3:C[6]-3:     Y    C[5,6](C[5,6]C[6]P[5])(C[5]C[5]C)(P[6]C[6])    P[6](C[5,6]C[5,6]C[5])(C[6]C[6]H)     C[5,6](C[5,6]C[6]P[5])(C[5]C[5]C)(P[6]C[6]){1|C<3>,1|H<1>,1|S<1>,3|C<4>}    P[6](C[5,6]C[5,6]C[5])(C[6]C[6]H){1|P<4>,2|C<3>,2|C<4>}   1.7308    0.0000    1     1.7308     0.0000    1
818    978     3:3:3:    3:2:2:    N[5]-3:N[5]-3:Se-3:     C[5]-3:Se-2:Se-2:     N    C[5](N[5]C[5]C)2(SeSe2)    Se(C[5]N[5]2)(SeC[5])2     C[5](N[5]C[5]C)2(SeSe2){2|H<1>}    Se(C[5]N[5]2)(SeC[5])2   1.8854    0.0000    1     1.8854     0.0000    1
818    979     2:2:2:    3:2:    N[5]-2:S[5]-2:S-2:     C[5]-3:S-2:     N    C[5](N[5]C[5])(S[5]C[5])(SS)    S(C[5]N[5]S[5])(SC[5])     C[5](N[5]C[5])(S[5]C[5])(SS){1|C<3>,1|H<1>}    S(C[5]N[5]S[5])(SC[5])   1.7565    0.0038    6     1.7565     0.0038    6
818    979     2:2:2:    3:2:    N[5]-2:S[5]-2:S-2:     C[5]-3:S-2:     N    C[5](N[5]N[5])(S[5]C[5])(SS)    S(C[5]N[5]S[5])(SC[5])     C[5](N[5]N[5])(S[5]C[5])(SS){1|C<4>}    S(C[5]N[5]S[5])(SC[5])   1.7640    0.0000    1     1.7612     0.0068    4
818    979     2:2:2:    3:2:    N[5]-2:S[5]-2:S-2:     C[5]-3:S-2:     N    C[5](N[5]N[5])(S[5]C[5])(SS)    S(C[5]N[5]S[5])(SC[5])     C[5](N[5]N[5])(S[5]C[5])(SS){1|H<1>}    S(C[5]N[5]S[5])(SC[5])   1.7695    0.0000    1     1.7612     0.0068    4
818    979     2:2:2:    3:2:    N[5]-2:S[5]-2:S-2:     C[5]-3:S-2:     N    C[5](N[5]N[5])(S[5]C[5])(SS)    S(C[5]N[5]S[5])(SC[5])     C[5](N[5]N[5])(S[5]C[5])(SS){1|S<1>}    S(C[5]N[5]S[5])(SC[5])   1.7557    0.0019    2     1.7612     0.0068    4
818    979     2:2:2:    3:2:    N[5a]-2:N[5a]-2:S-2:     C[5a]-3:S-2:     N    C[5a](N[5a]C[5a])(N[5a]N[5a])(SS)    S(C[5a]N[5a]2)(SC[5a])     C[5a](N[5a]C[5a])(N[5a]N[5a])(SS){1|C<3>,1|H<1>}    S(C[5a]N[5a]2)(SC[5a])   1.7535    0.0000    1     1.7562     0.0029    4
818    979     2:2:2:    3:2:    N[5a]-2:N[5a]-2:S-2:     C[5a]-3:S-2:     N    C[5a](N[5a]C[5a])(N[5a]N[5a])(SS)    S(C[5a]N[5a]2)(SC[5a])     C[5a](N[5a]C[5a])(N[5a]N[5a])(SS){1|H<1>,1|N<3>}    S(C[5a]N[5a]2)(SC[5a])   1.7586    0.0016    2     1.7562     0.0029    4
818    979     2:2:2:    3:2:    N[5a]-2:N[5a]-2:S-2:     C[5a]-3:S-2:     N    C[5a](N[5a]C[5a])(N[5a]N[5a])(SS)    S(C[5a]N[5a]2)(SC[5a])     C[5a](N[5a]C[5a])(N[5a]N[5a])(SS){2|H<1>}    S(C[5a]N[5a]2)(SC[5a])   1.7541    0.0000    1     1.7562     0.0029    4
818    979     2:2:2:    3:2:    S[5]-2:S[5]-2:S-2:     C[5]-3:I-2:     N    C[5](S[5]C[5])2(SI)    S(C[5]S[5]2)(IBr)     C[5](S[5]C[5])2(SI){2|C<3>}    S(C[5]S[5]2)(IBr)   1.6721    0.0000    1     1.6721     0.0000    1
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-3:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC)    S(C[5]N[5]S[5])(CCO)     C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC){2|C<3>}    S(C[5]N[5]S[5])(CCO)   1.7588    0.0000    1     1.7588     0.0000    1
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-3:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCH)     C[5](N[5]C[5])(S[5]C[5])(SC){1|C<3>,1|O<1>}    S(C[5]N[5]S[5])(CCH)   1.7587    0.0000    1     1.7587     0.0000    1
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-3:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCC)     C[5](N[5]N[5])(S[5]C[5])(SC){1|S<2>}    S(C[5]N[5]S[5])(CCC)   1.7510    0.0073    7     1.7510     0.0073    7
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[5]-3:C[6]-3:     N    C[5](N[5]N[5])(S[5]C[5])(SC[6])    S(C[5]N[5]S[5])(C[6]C[6]2)     C[5](N[5]N[5])(S[5]C[5])(SC[6]){1|S<2>}    S(C[5]N[5]S[5])(C[6]C[6]2)   1.7511    0.0083    2     1.7511     0.0083    2
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[5]-3:C[6a]-3:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC[6a])    S(C[5]N[5]S[5])(C[6a]C[6a]2)     C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC[6a]){2|C<3>}    S(C[5]N[5]S[5])(C[6a]C[6a]2)   1.7544    0.0000    1     1.7544     0.0000    1
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[6a]-3:C[5]-3:     N    C[5](N[5]N[5])(S[5]C[5])(SC[6a])    S(C[6a]C[5,6a]C[6a])(C[5]N[5]S[5])     C[5](N[5]N[5])(S[5]C[5])(SC[6a]){1|C<4>}    S(C[6a]C[5,6a]C[6a])(C[5]N[5]S[5])   1.7576    0.0039    3     1.7576     0.0039    3
818    979     2:2:2:    3:3:    N[5]-2:S[5]-2:S-2:     C[6a]-3:C[5]-3:     N    C[5](N[5]N[5])(S[5]C[5])(SC[6a])    S(C[6a]C[6a,6a]C[6a])(C[5]N[5]S[5])     C[5](N[5]N[5])(S[5]C[5])(SC[6a]){1|C<4>}    S(C[6a]C[6a,6a]C[6a])(C[5]N[5]S[5])   1.7858    0.0000    1     1.7858     0.0000    1
818    979     2:2:2:    3:3:    N[5a]-2:O[5a]-2:S-2:     C[5a]-3:C[6a]-3:     N    C[5a](N[5a]C[5a,6a])(O[5a]C[5a,6a])(SC[6a])    S(C[5a]N[5a]O[5a])(C[6a]C[6a]2)     C[5a](N[5a]C[5a,6a])(O[5a]C[5a,6a])(SC[6a]){2|C<3>}    S(C[5a]N[5a]O[5a])(C[6a]C[6a]2)   1.7394    0.0000    1     1.7394     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:N[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(N[5]S[5])(SC)    S(C[5]N[5]2)(CH3)     C[5](N[5]C[5])(N[5]S[5])(SC){1|S<2>}    S(C[5]N[5]2)(CH3)   1.7450    0.0000    1     1.7450     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:O[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(O[5]C[5])(SC)    S(C[5]N[5]O[5])(CC[6]HH)     C[5](N[5]N[5])(O[5]C[5])(SC){1|Cu<5>,1|C<3>}    S(C[5]N[5]O[5])(CC[6]HH)   1.7322    0.0000    1     1.7322     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:O[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(O[5]C[5])(SC)    S(C[5]N[5]O[5])(CH3)     C[5](N[5]N[5])(O[5]C[5])(SC){1|Cu<4>,1|C<3>}    S(C[5]N[5]O[5])(CH3)   1.7290    0.0000    1     1.7290     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC){2|C<3>}    S(C[5]N[5]S[5])(CCHH)   1.7449    0.0026    18     1.7449     0.0026    18
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC)    S(C[5]N[5]S[5])(CC[6a]HH)     C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC){2|C<3>}    S(C[5]N[5]S[5])(CC[6a]HH)   1.7386    0.0027    3     1.7386     0.0027    3
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC)    S(C[5]N[5]S[5])(CH3)     C[5](N[5]C[5,6a])(S[5]C[5,6a])(SC){2|C<3>}    S(C[5]N[5]S[5])(CH3)   1.7434    0.0000    1     1.7434     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]C[5])(S[5]C[5])(SC){1|O<1>,2|C<4>}    S(C[5]N[5]S[5])(CCHH)   1.7430    0.0000    1     1.7497     0.0059    3
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]C[5])(S[5]C[5])(SC){2|H<1>}    S(C[5]N[5]S[5])(CCHH)   1.7522    0.0000    1     1.7497     0.0059    3
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]C[5])(S[5]C[5])(SC){4|H<1>}    S(C[5]N[5]S[5])(CCHH)   1.7538    0.0000    1     1.7497     0.0059    3
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CC[6]HH)     C[5](N[5]C[5])(S[5]C[5])(SC){4|H<1>}    S(C[5]N[5]S[5])(CC[6]HH)   1.7601    0.0000    1     1.7601     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CC[6a]HH)     C[5](N[5]C[5])(S[5]C[5])(SC){1|C<4>,3|H<1>}    S(C[5]N[5]S[5])(CC[6a]HH)   1.7590    0.0000    1     1.7493     0.0101    9
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CC[6a]HH)     C[5](N[5]C[5])(S[5]C[5])(SC){2|H<1>}    S(C[5]N[5]S[5])(CC[6a]HH)   1.7425    0.0000    1     1.7493     0.0101    9
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CC[6a]HH)     C[5](N[5]C[5])(S[5]C[5])(SC){4|H<1>}    S(C[5]N[5]S[5])(CC[6a]HH)   1.7489    0.0106    7     1.7493     0.0101    9
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCl3)     C[5](N[5]C[5])(S[5]C[5])(SC){1|C<3>,1|H<1>}    S(C[5]N[5]S[5])(CCl3)   1.7614    0.0000    1     1.7614     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5,6a])(S[5]C[5,6a])(SC)    S(C[5]N[5]S[5])(CH3)     C[5](N[5]N[5,6a])(S[5]C[5,6a])(SC){1|C<3>,1|N<2>}    S(C[5]N[5]S[5])(CH3)   1.7378    0.0000    1     1.7378     0.0000    1
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|C<3>,1|O<1>}    S(C[5]N[5]S[5])(CCHH)   1.7396    0.0000    1     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|C<3>}    S(C[5]N[5]S[5])(CCHH)   1.7418    0.0000    1     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|C<4>}    S(C[5]N[5]S[5])(CCHH)   1.7577    0.0174    2     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|Cd<6>,1|S<2>}    S(C[5]N[5]S[5])(CCHH)   1.7326    0.0016    2     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|Cu<6>,1|C<4>}    S(C[5]N[5]S[5])(CCHH)   1.7379    0.0077    2     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|Cu<6>,1|H<1>}    S(C[5]N[5]S[5])(CCHH)   1.7385    0.0043    2     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|H<1>}    S(C[5]N[5]S[5])(CCHH)   1.7342    0.0000    1     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|N<3>}    S(C[5]N[5]S[5])(CCHH)   1.7396    0.0000    1     1.7433     0.0092    19
818    979     2:2:2:    3:4:    N[5]-2:S[5]-2:S-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(SC)    S(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(SC){1|S<2>}    S(C[5]N[5]S[5])(CCHH)   1.7478    0.0050    7     1.7433     0.0092    19
