466  856  SP2_SP3  Y  2:3:3:4:  4:3:4:  C-3_0_0_0:C[6,6]-3_2_2:N[6,6]-3_3_2:S[6,6]-3_3  C-2_0_0_0:C[3x6]-3_3_2_2:C[6,6]-3_2_2  345_1754_1  658_132_1  1.4605  0.0000  1  1.4605  0.0000  1  
466  856  SP2_SP3  Y  2:3:4:1:  3:4:1:  C-3_0_0_0:H-3:N[6]-3_2_0:O[6]-3_2  C[6]-2_2_2:C[6]-3_2_2_0:H-2  449_35985_1  661_2746_1  1.4331  0.0000  1  1.4331  0.0000  1  
466  856  SP2_SP3  Y  2:3:4:4:  3:4:1:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_0:N[6]-3_2  C[6]-2_2_2:C[6]-3_3_2_2:H-2  449_32261_1  661_2039_1  1.4851  0.0000  1  1.4851  0.0000  1  
466  856  SP2_SP3  Y  2:4:4:3:  4:3:1:  C[6]-3_3_0_0:C[6]-3_3_0_0:N[6]-3_2_0:O[6]-3_2  C[6,6]-3_3_2_2:C[6]-2_2_2:H-2  446_6973_1  661_1066_1  1.4525  0.0000  1  1.4525  0.0000  1  
466  856  SP2_SP3  Y  2:4:4:3:  4:3:3:  C[6]-3_3_0_0:C[6]-3_3_0_0:N[6]-3_2_2:O[6]-3_2  C-3_2_2:C[6,6]-3_3_2_2:C[6]-2_2_2  446_6972_1  661_1065_1  1.4984  0.0097  3  1.4984  0.0097  3  
466  856  SP2_SP3  Y  2:4:4:3:  4:3:3:  C[6]-3_3_0_0:C[6]-3_3_3_0:N[6]-3_2_2:O[6]-3_2  C-3_2_2:C[6,6]-3_3_2_2:C[6]-2_2_2  446_6969_1  661_1065_2  1.5083  0.0000  1  1.5083  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  3:4:3:  H-3:H-3:N[6]-3_2_2:O[6]-3_2  C[6a]-2_2_2:C[6]-2_2_0_0:C[6]-2_2_2  449_35333_1  661_4617_1  1.4310  0.0000  1  1.4310  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  3:4:4:  H-3:H-3:N[6,6]-3_3_2:N[6]-3_2  C[6,6a]-2_2_2:C[6,6]-3_2_0_0:C[6]-2_2_0_0  449_31877_1  658_523_1  1.4604  0.0000  1  1.4604  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  3:4:4:  H-3:H-3:N[6]-3_3_2:N[6]-3_3  C-3_2_0_0:C[6,6a]-2_2_2:C[6]-2_2_0_0  449_32709_1  661_1597_1  1.4627  0.0000  1  1.4627  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  3:4:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-2_2_0_0:C[5a,6]-2_2_2:C[6]-3_2_0_0  449_32279_1  661_659_1  1.4543  0.0072  4  1.4543  0.0072  4  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:1:  H-3:H-3:N[6]-3_2_2:O[6]-3_3  C[6]-3_2_0_0:C[6]-3_2_2:O-2  449_34458_1  661_4455_1  1.4989  0.0000  1  1.4989  0.0000  1  
