466    710     SP-NON_SP3    N    4:4:4:1:    4:    C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:I-3     C[3x6]-3_3_3_0     C[3x6](C[6,6]C[3x6]HH)3(I)    I(C[3x6]C[6,6]3)     C[3x6](C[6,6]C[3x6]HH)3(I){1|Br<1>,1|Cl<1>,1|F<1>,3|C<4>}    I(C[3x6]C[6,6]3)   2.1277    0.0000    1     2.1277     0.0000    1
466    727     SP2_SP3    N    3:2:2:1:    3:4:2:    C[5a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3     C[5a]-2_2_0:C[6]-3_3_2_0:O[5a]-2_2     C[6](C[5a]C[5a]O[5a])(O[6]C[6])2(H)    C[5a](C[5a]C[5a]H)(C[6]O[6]2H)(O[5a]C[5a])     C[6](C[5a]C[5a]O[5a])(O[6]C[6])2(H){1|C<4>,2|C<3>,5|H<1>}    C[5a](C[5a]C[5a]H)(C[6]O[6]2H)(O[5a]C[5a]){1|C<3>,3|C<4>}   1.4920    0.0075    4     1.4894     0.0059    8
466    727     SP2_SP3    N    3:2:2:1:    3:4:2:    C[5a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3     C[5a]-2_2_0:C[6]-3_3_2_0:O[5a]-2_2     C[6](C[5a]C[5a]O[5a])(O[6]C[6])2(H)    C[5a](C[5a]C[5a]H)(C[6]O[6]2H)(O[5a]C[5a])     C[6](C[5a]C[5a]O[5a])(O[6]C[6])2(H){1|C<4>,2|C<3>,5|H<1>}    C[5a](C[5a]C[5a]H)(C[6]O[6]2H)(O[5a]C[5a]){2|C<4>,2|H<1>}   1.4868    0.0028    4     1.4894     0.0059    8
466    727     SP2_SP3    N    3:2:2:1:    3:4:2:    C[5a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3     C[5a]-2_2_0:C[6]-3_3_2_0:N[5a]-2_2     C[6](C[5a]C[5a]N[5a])(S[6]C[6])2(H)    C[5a](C[5a]O[5a]Cl)(C[6]S[6]2H)(N[5a]C[5a])     C[6](C[5a]C[5a]N[5a])(S[6]C[6])2(H){1|Cl<1>,1|C<3>,1|C<4>,1|O<2>,4|H<1>}    C[5a](C[5a]O[5a]Cl)(C[6]S[6]2H)(N[5a]C[5a]){1|C<3>,2|C<4>}   1.4885    0.0000    1     1.4885     0.0000    1
466    727     SP2_SP3    N    3:2:2:4:    3:3:4:    C-3_0_0_0:C[5a]-3_2_2:O[6]-3_3:O[6]-3_3     C[5a]-2_2_2:C[5a]-3_2_2:C[6]-3_3_3_2     C[6](C[5a]C[5a]2)(O[6]C[6])2(CBrHH)    C[5a](C[5a]N[5a]C)(C[5a]O[5a]C)(C[6]O[6]2C)     C[6](C[5a]C[5a]2)(O[6]C[6])2(CBrHH){1|C<3>,1|N<2>,1|O<2>,2|C<4>,4|H<1>}    C[5a](C[5a]N[5a]C)(C[5a]O[5a]C)(C[6]O[6]2C){2|C<4>}   1.5135    0.0000    1     1.5135     0.0000    1
466    727     SP2_SP3    N    3:2:2:4:    3:3:4:    C-3_0_0_0:C[5a]-3_2_2:O[6]-3_3:O[6]-3_3     C[5a]-2_2_2:C[5a]-3_2_2:C[6]-3_3_3_2     C[6](C[5a]C[5a]2)(O[6]C[6])2(CH3)    C[5a](C[5a]N[5a]C)(C[5a]O[5a]C)(C[6]O[6]2C)     C[6](C[5a]C[5a]2)(O[6]C[6])2(CH3){1|C<3>,1|N<2>,1|O<2>,2|C<4>,4|H<1>}    C[5a](C[5a]N[5a]C)(C[5a]O[5a]C)(C[6]O[6]2C){2|C<4>}   1.5209    0.0005    2     1.5209     0.0005    2
466    727     SP2_SP3    N    3:2:3:1:    3:4:3:    C[5a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[5a]C[5a,6a]C[5a])(O[6]C[6,6a])(C[6]N[6]C)(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6]O[6]H)(C[5a]N[5a]H)     C[6](C[5a]C[5a,6a]C[5a])(O[6]C[6,6a])(C[6]N[6]C)(H){1|H<1>,1|N<3>,4|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6]O[6]H)(C[5a]N[5a]H){1|N<2>,2|H<1>,4|C<3>}   1.4918    0.0000    1     1.4918     0.0000    1
466    727     SP2_SP3    N    3:3:2:1:    4:3:2:    C[5a]-3_2_2:C[6]-3_2_0:H-3:O[6]-3_3     C[5a]-2_2_0:C[6]-3_2_2_0:N[5a]-2_2     C[6](C[5a]C[5a]N[5a])(C[6]C[6]H)(O[6]C[6])(H)    C[5a](C[6]C[6]O[6]H)(C[5a]N[5a]H)(N[5a]N[5a])     C[6](C[5a]C[5a]N[5a])(C[6]C[6]H)(O[6]C[6])(H){1|N<2>,1|N<3>,2|C<4>,3|H<1>}    C[5a](C[6]C[6]O[6]H)(C[5a]N[5a]H)(N[5a]N[5a]){1|C<4>,1|H<1>,2|C<3>}   1.5029    0.0000    1     1.5029     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:3:4:    C[5a,6]-3_2_2:C[5a,6]-3_2_2:C[5a]-3_2_2:H-3     C[5a]-3_2_2:C[6]-2_2_2_0:N[5a]-2_2_0     C[6](C[5a,6]N[5a,6]C[5a])2(C[5a]C[5a]N[5a])(H)    C[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]H)(C[6]C[5a,6]2H)     C[6](C[5a,6]N[5a,6]C[5a])2(C[5a]C[5a]N[5a])(H){1|B<3>,1|H<1>,3|C<4>,6|C<3>}    C[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]H)(C[6]C[5a,6]2H){2|N<3>,4|C<3>}   1.5117    0.0000    1     1.5117     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:3:4:    C[5a]-3_2_2:C[6,6]-3_2_2:C[6,6]-3_2_2:H-3     C[5a]-2_2_0:C[6]-2_2_2_0:N[5a]-3_2_2     C[6](C[6,6]C[6,6]C[6])2(C[5a]C[5a]N[5a])(H)    C[5a](C[5a]C[5a,6a]H)(N[5a]C[5a,6a]C)(C[6]C[6,6]2H)     C[6](C[6,6]C[6,6]C[6])2(C[5a]C[5a]N[5a])(H){1|H<1>,1|N<3>,2|C<3>,2|O<1>,5|C<4>}    C[5a](C[5a]C[5a,6a]H)(N[5a]C[5a,6a]C)(C[6]C[6,6]2H){6|C<3>}   1.5192    0.0000    1     1.5192     0.0000    1
