643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_0_0:C[6a]-2_2_0  451_17192_1  694_1477_0  1.8571  0.0014  3  1.8571  0.0014  3  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_0_0:C[6a]-2_2_0  451_17192_1  694_1511_0  1.8626  0.0124  2  1.8626  0.0124  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_0_0:C[6a]-2_2_0  451_17192_1  694_1556_0  1.8383  0.0000  1  1.8383  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_0_0:C[6a]-2_2_0  451_17192_1  694_1558_0  1.8520  0.0162  5  1.8520  0.0162  5  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_2_0:C[6a]-2_2_0  451_17192_1  694_1507_0  1.8655  0.0137  2  1.8655  0.0137  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_2_0:C[6a]-2_2_0  451_17192_1  694_1515_0  1.8509  0.0070  5  1.8509  0.0070  5  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_2_0:C[6a]-2_2_0  451_17192_1  694_1533_0  1.8417  0.0000  1  1.8417  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_3_0:C[6a]-2_2_0  451_17192_1  694_1592_0  1.8631  0.0124  3  1.8631  0.0124  3  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[3]-2_2_0:C[6a]-2_2_0  451_17203_1  694_1597_0  1.8725  0.0000  1  1.8725  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[4]-2_2_0:C[6a]-2_2_0  451_17207_1  694_1601_0  1.8538  0.0036  2  1.8538  0.0036  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[4]-3_3_0:C[6a]-2_2_0  451_17207_1  694_755_0  1.8604  0.0000  1  1.8604  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[5]-2_2_0:C[6a]-2_2_0  451_17213_1  694_786_0  1.8574  0.0257  3  1.8574  0.0257  3  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[5]-2_2_0:C[6a]-2_2_0  451_17213_1  694_1607_0  1.8652  0.0000  1  1.8652  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[5a]-2_2_0:C[6a]-2_2_0  451_17215_1  694_1080_0  1.8512  0.0000  1  1.8512  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[6a]-2_2_0:C[6]-3_3_0  451_17217_1  694_1315_0  1.8670  0.0000  1  1.8670  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[6a]-2_2_0:C[6a]-2_2_0  451_17221_1  694_1809_0  1.8469  0.0000  1  1.8469  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[6a]-2_2_0:Ge-3_3_0  451_17274_1  694_1652_0  1.8548  0.0000  1  1.8548  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C[6a]-2_2_0:Si-2_2_0  451_17317_1  694_1806_0  1.8794  0.0000  1  1.8794  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-2_2_0:C[6a]-2_2_0:P-3_2  C-3_3_0_0:C[6a]-2_2_0  451_23234_1  694_1585_0  1.8150  0.0004  2  1.8150  0.0004  2  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-2_2_2:C[6a]-2_2_2:P-3_2  C[6a]-2_2_0:P-2_2_0_0  451_14843_1  694_1779_0  1.8350  0.0060  4  1.8350  0.0060  4  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-2_2_2:C[6a]-2_2_2:P-3_2  C[6a]-2_2_0:P-3_3_3_0  451_14843_1  694_1759_0  1.8480  0.0000  1  1.8480  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-3_2_2:C[6a]-3_2_2:P-3_2  C-14_2_2_0:C[6a]-2_2_0  451_17192_1  694_1552_0  1.8517  0.0000  1  1.8517  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-3_2_2:C[6a]-3_2_2:P-3_2  C-14_3_2_0:C[6a]-2_2_0  451_17192_1  694_1509_0  1.8595  0.0000  1  1.8595  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-3_2_2:C[6a]-3_2_2:P-3_2  C-14_3_2_0:C[6a]-2_2_0  451_17192_1  694_1516_0  1.8541  0.0000  1  1.8541  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-3_2_2:C[6a]-3_2_2:P-3_2  C-15_2_2_0:C[6a]-2_2_0  451_17192_1  694_1555_0  1.8582  0.0000  1  1.8582  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:4:  C[6a]-3_2_2:C[6a]-3_2_2:P-3_2  C[6a]-2_2_0:Si-2_0_0_0  451_17317_1  694_1804_0  1.8739  0.0000  1  1.8739  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28259_1  599_8402_0  1.3349  0.0000  1  1.3303  0.0066  2  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28259_2  599_8402_0  1.3257  0.0000  1  1.3303  0.0066  2  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28906_1  599_8402_0  1.3312  0.0000  1  1.3312  0.0000  1  
