537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CCH)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<3>,1|H<1>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CCH){1|C<3>}   1.3462    0.0000    1     1.3462     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CHO)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<3>,1|H<1>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CHO){1|C<3>}   1.3441    0.0000    1     1.3441     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_0:C[5a]-2_2_2:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(CCH)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){2|C<3>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(CCH){1|C<3>}   1.3531    0.0037    2     1.3531     0.0037    2
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a,6a]-2_2_2:O[5a]-2_2     O[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a])    C[5a](C[5a,6a]C[5a,6a]C[6a])(O[5a]N[5a])(CC[6a]O)     O[5a](C[5a]C[5a,6a]C)(N[5a]C[5a,6a]){2|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(O[5a]N[5a])(CC[6a]O){1|H<1>,2|C<3>}   1.3445    0.0000    1     1.3445     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a]-2_2_0:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CCO)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<3>,1|H<1>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CCO){1|C<3>}   1.3541    0.0000    1     1.3541     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a]-2_2_0:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CNO)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<3>,1|H<1>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CNO){1|C<3>}   1.3579    0.0047    4     1.3579     0.0047    4
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a]-2_2_0:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(COO)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<3>,1|H<1>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(COO){1|C<3>}   1.3503    0.0045    4     1.3511     0.0043    6
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a]-2_2_0:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(COO)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<4>,1|H<1>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(COO){1|C<4>}   1.3527    0.0051    2     1.3511     0.0043    6
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a]-2_2_2:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(COO)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){2|C<3>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(COO){1|C<3>}   1.3496    0.0000    1     1.3496     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_2:C[5a]-3_2_2:O[5a]-2_2     O[5a](C[5a]C[5a]C)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(CC[6a]O)     O[5a](C[5a]C[5a]C)(N[5a]C[5a]){1|C<4>,1|H<1>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(CC[6a]O){1|H<1>}   1.3446    0.0000    1     1.3446     0.0000    1
