643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[4]-3_3_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[6a]C[6a]2)(C[4]C[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){2|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(C[4]C[4]C)2{2|H<1>,4|C<3>}   1.4650    0.0000    1     1.4650     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[4]-8_3_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[6a]C[6a]2)(C[4]C[4]N)(C[4]C[4]W)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|C<3>,1|C<4>,1|N<3>,1|W<8>,2|H<1>}    C[4](C[6a]C[6a]2)(C[4]C[4]N)(C[4]C[4]W){1|C<4>,2|C<3>,3|H<1>}   1.4839    0.0000    1     1.4839     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[6a]-2_2_2:N[4]-3_2_2     C[6a](C[4]C[4]N[4])(C[6a]C[6a]H)2    C[4](C[6a]C[6a]2)(C[4]C[4]C)(N[4]C[4]O)     C[6a](C[4]C[4]N[4])(C[6a]C[6a]H)2{1|C<4>,1|O<1>,2|C<3>,2|H<1>}    C[4](C[6a]C[6a]2)(C[4]C[4]C)(N[4]C[4]O){3|C<3>,3|H<1>}   1.4476    0.0012    5     1.4476     0.0012    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4,6]-5_3_2:N[4]-5_3_2     C[6a](C[4]N[4,6]N[4])(C[6a]C[6a]H)2    C[4](N[4,6]Ga[4,6]C[6])(N[4]Ga[4,6]Si)(C[6a]C[6a]2)     C[6a](C[4]N[4,6]N[4])(C[6a]C[6a]H)2{1|Ga<5>,1|Si<4>,1|C<3>,1|C<4>,2|H<1>}    C[4](N[4,6]Ga[4,6]C[6])(N[4]Ga[4,6]Si)(C[6a]C[6a]2){2|Cl<1>,1|C<4>,1|N<4>,2|C<3>,4|H<1>}   1.4949    0.0000    1     1.4949     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-2_0_0:N[4]-2_2_0     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](N[4]C[6a]Ga[4])(C[6a]C[6a]2)(N[4]Ga[4]2)     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){2|Ga<4>,2|C<3>,2|H<1>}    C[4](N[4]C[6a]Ga[4])(C[6a]C[6a]2)(N[4]Ga[4]2){2|C<4>,2|H<1>,3|N<3>,4|C<3>}   1.4945    0.0041    2     1.4945     0.0041    2
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-2_0_0:N[4]-3_2_0     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Ga[4]2)(N[4]Ga[4]C)     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){2|Ga<4>,1|C<3>,1|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Ga[4]2)(N[4]Ga[4]C){2|C<3>,2|C<4>,2|H<1>,3|N<3>}   1.4941    0.0004    2     1.4941     0.0004    2
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Ge[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Ge<3>,1|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Ge[4]C)2{1|O<2>,2|C<3>,2|H<1>}   1.4987    0.0045    2     1.4987     0.0045    2
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Ge[4]Si)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Ge<3>,2|Si<4>,1|C<3>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Ge[4]Si)2{1|Ge<4>,2|C<3>,2|H<1>}   1.4932    0.0000    1     1.4948     0.0024    3
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Ge[4]Si)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Ge<3>,2|Si<4>,1|C<3>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Ge[4]Si)2{1|Si<4>,2|C<3>,2|H<1>}   1.4976    0.0000    1     1.4948     0.0024    3
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Ge[4]Si)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Ge<3>,2|Si<4>,1|C<3>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Ge[4]Si)2{1|Sn<4>,2|C<3>,2|H<1>}   1.4938    0.0000    1     1.4948     0.0024    3
