490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    Br-0:C[6]-1_0_0:F-0:F-0     C-1_0_0_0:N[6]-1_1_0:N[6]-1_1     C(C[6]N[6]2)(Br)(F)2    C[6](N[6]C[6,6a])(N[6]C[6]C)(CBrFF)     C(C[6]N[6]2)(Br)(F)2    C[6](N[6]C[6,6a])(N[6]C[6]C)(CBrFF){3|C<3>}   1.5204    0.0000    1     1.5204     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    Br-0:C[6]-1_1_0:H-0:H-0     C-1_0_0_0:C[6]-1_0_0:N[6]-1_1     C(C[6]C[6]N[6])(Br)(H)2    C[6](N[6]C[6,6a])(C[6]N[6]C)(CBrHH)     C(C[6]C[6]N[6])(Br)(H)2    C[6](N[6]C[6,6a])(C[6]N[6]C)(CBrHH){1|O<1>,2|C<3>}   1.5005    0.0201    4     1.5005     0.0201    4
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:F-0:F-0:F-0     C-1_0_0_0:C[6]-1_1_0:O[6]-1_0     C(C[6]C[6]O[6])(F)3    C[6](O[6]Lu[5,5,6,6])(C[6]C[6]H)(CF3)     C(C[6]C[6]O[6])(F)3    C[6](O[6]Lu[5,5,6,6])(C[6]C[6]H)(CF3){1|C<4>,1|N<2>,1|N<3>,2|O<1>,4|O<2>}   1.5336    0.0000    1     1.5336     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:O[6]-1_0     C(C[6]C[6]O[6])(H)3    C[6](O[6]B[6,6])(C[6]C[6]H)(CH3)     C(C[6]C[6]O[6])(H)3    C[6](O[6]B[6,6])(C[6]C[6]H)(CH3){1|O<2>,3|C<4>}   1.4903    0.0018    4     1.4903     0.0018    4
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:O[6]-1_0     C(C[6]C[6]O[6])(H)3    C[6](O[6]C[5,6])(C[6]C[6]S)(CH3)     C(C[6]C[6]O[6])(H)3    C[6](O[6]C[5,6])(C[6]C[6]S)(CH3){1|O<2>,2|C<4>,2|H<1>}   1.5112    0.0000    1     1.5112     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:O[6]-1_1     C(C[6]C[6]O[6])(H)3    C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3)     C(C[6]C[6]O[6])(H)3    C[6](O[6]C[6,6a])(C[6]C[6]C)(CH3){1|H<1>,1|N<3>,2|C<3>}   1.4884    0.0000    1     1.4884     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:O[6]-1_1     C(C[6]C[6]O[6])(H)3    C[6](O[6]C[6,6a])(C[6]C[6]H)(CH3)     C(C[6]C[6]O[6])(H)3    C[6](O[6]C[6,6a])(C[6]C[6]H)(CH3){1|O<2>,2|C<3>}   1.4820    0.0000    1     1.4820     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:N[6]-1_0_0:N[6]-1_1     C(C[6]N[6]2)(H)3    C[6](N[6]C[6,6a])(N[6]C[6]H)(CH3)     C(C[6]N[6]2)(H)3    C[6](N[6]C[6,6a])(N[6]C[6]H)(CH3){1|H<1>,3|C<3>}   1.5005    0.0000    1     1.5005     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:N[6]-1_1_0:N[6]-1_1     C(C[6]N[6]2)(H)3    C[6](N[6]C[6,6])(N[6]C[6]H)(CH3)     C(C[6]N[6]2)(H)3    C[6](N[6]C[6,6])(N[6]C[6]H)(CH3){1|C<3>,1|H<1>,1|N<3>}   1.4862    0.0000    1     1.4862     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_0_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6])(C[6]N[6]C)(CH3){1|Co<6>,1|C<3>,1|N<3>}   1.4985    0.0000    1     1.4985     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_0_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3){1|H<1>,2|C<3>}   1.4963    0.0125    2     1.4963     0.0125    2
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_0     C(C[6]C[6]N[6])(H)3    C[6](N[6]N[5a,6])(C[6]S[6]N)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]N[5a,6])(C[6]S[6]N)(CH3){2|C<3>}   1.4924    0.0000    1     1.4924     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]C)(CH3){1|C<3>,1|H<1>,1|N<3>,1|S<2>}   1.4983    0.0051    25     1.4983     0.0051    25
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]H)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]H)(CH3){1|C<3>,1|N<3>,1|S<2>}   1.4908    0.0000    1     1.5007     0.0059    13
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]H)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]H)(CH3){1|C<4>,2|N<3>}   1.5001    0.0044    10     1.5007     0.0059    13
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]H)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5,6])(C[6]C[6]H)(CH3){1|O<2>,2|N<3>}   1.5091    0.0004    2     1.5007     0.0059    13
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5a,6])(C[6]C[6]H)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5a,6])(C[6]C[6]H)(CH3){1|C<4>,1|N<3>,1|O<2>}   1.5026    0.0000    1     1.4953     0.0064    3
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5a,6])(C[6]C[6]H)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[5a,6])(C[6]C[6]H)(CH3){1|C<4>,2|N<3>}   1.4916    0.0000    2     1.4953     0.0064    3
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6])(C[6]N[6]C)(CH3){1|Ag<6>,1|C<3>,1|N<3>}   1.4866    0.0062    4     1.4877     0.0053    6
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6])(C[6]N[6]C)(CH3){1|Cu<5>,1|C<3>,1|N<3>}   1.4900    0.0024    2     1.4877     0.0053    6
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]C[6]H)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]C[6]H)(CH3){1|O<1>,2|C<3>}   1.4956    0.0000    1     1.4956     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3){1|Co<6>,1|C<3>,1|N<2>}   1.4903    0.0000    1     1.4969     0.0058    3
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3){1|Cu<6>,1|C<3>,1|N<2>}   1.4992    0.0000    1     1.4969     0.0058    3
490    762     SP2_SP3    N    3:1:1:1:    2:3:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1_0:N[6]-1_1     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3){1|Ni<6>,1|C<3>,1|N<2>}   1.5011    0.0000    1     1.4969     0.0058    3
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-0_0_0:F-0:F-0:F-0     C-1_0_0_0:N[6]-1_1_0:O[6]-1_0     C(C[6]N[6]O[6])(F)3    C[6](N[6]C[6,6a]H)(O[6]B[6])(CF3)     C(C[6]N[6]O[6])(F)3    C[6](N[6]C[6,6a]H)(O[6]B[6])(CF3){4|C<3>}   1.5224    0.0000    1     1.5224     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-0_0_0:H-0:H-0:H-0     C-1_0_0_0:N[6]-1_1_0:O[6]-1_0     C(C[6]N[6]O[6])(H)3    C[6](N[6]C[6,6a]H)(O[6]B[5,6])(CH3)     C(C[6]N[6]O[6])(H)3    C[6](N[6]C[6,6a]H)(O[6]B[5,6])(CH3){2|C<3>,2|O<2>}   1.4837    0.0000    1     1.4837     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:F-0:F-0:F-0     C-1_0_0_0:C[5,6]-1_0_0:O[6]-1_0     C(C[6]C[5,6]O[6])(F)3    C[6](C[5,6]C[5,6]C[5])(O[6]C[6])(CF3)     C(C[6]C[5,6]O[6])(F)3    C[6](C[5,6]C[5,6]C[5])(O[6]C[6])(CF3){2|O<2>,3|C<4>,3|H<1>}   1.4918    0.0000    1     1.4918     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:F-0:F-0:F-0     C-1_0_0_0:C[6]-1_0_0:O[6]-1_1     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]C)(O[6]C[6])(CF3)     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]C)(O[6]C[6])(CF3){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4630    0.0000    1     1.4630     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:F-0:F-0:F-0     C-1_0_0_0:C[6]-1_0_0:O[6]-1_1     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]H)(O[6]C[6])(CF3)     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]H)(O[6]C[6])(CF3){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4798    0.0147    3     1.4798     0.0147    3
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:F-0:F-0:F-0     C-1_0_0_0:C[6]-1_1_0:O[6]-1_0     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6,6]H)(O[6]Nb[6])(CF3)     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6,6]H)(O[6]Nb[6])(CF3){1|C<3>,1|N<3>,4|O<2>}   1.4963    0.0000    1     1.4963     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:F-0:F-0:F-0     C-1_0_0_0:N[6]-1_1_1:N[6]-1_1     C(C[6]N[6]2)(F)3    C[6](N[6]C[6a]C[6])(N[6]C[6,6a])(CF3)     C(C[6]N[6]2)(F)3    C[6](N[6]C[6a]C[6])(N[6]C[6,6a])(CF3){5|C<3>}   1.5332    0.0000    1     1.5332     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[5,6]-1_0_0:O[6]-1_1     C(C[6]C[5,6]O[6])(H)3    C[6](C[5,6]C[5,6]C[5])(O[6]C[6])(CH3)     C(C[6]C[5,6]O[6])(H)3    C[6](C[5,6]C[5,6]C[5])(O[6]C[6])(CH3){1|N<3>,1|O<1>,2|C<4>,3|H<1>}   1.4899    0.0041    2     1.4899     0.0041    2
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[5,6]-1_1_0:S[6]-1_1     C(C[6]C[5,6]S[6])(H)3    C[6](C[5,6]C[5,6]C[5])(S[6]C[6])(CH3)     C(C[6]C[5,6]S[6])(H)3    C[6](C[5,6]C[5,6]C[5])(S[6]C[6])(CH3){1|C<3>,1|N<2>,2|C<4>,2|H<1>}   1.5011    0.0020    2     1.5011     0.0020    2
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6,6]-1_0_0:O[6]-1_0     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]C[6])(CH3)     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]C[6])(CH3){1|C<3>,3|C<4>,4|H<1>}   1.5001    0.0000    1     1.4986     0.0021    2
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6,6]-1_0_0:O[6]-1_0     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]C[6])(CH3)     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]C[6])(CH3){2|H<1>,6|C<4>}   1.4971    0.0000    1     1.4986     0.0021    2
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6,6]-1_1_0:O[6]-1_0     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]B[6])(CH3)     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]B[6])(CH3){1|H<1>,1|N<3>,1|O<2>,2|C<3>,2|F<1>}   1.4823    0.0000    1     1.4823     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    3:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:C[6,6]-1_1_0:O[6]-1_0     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]H[6])(CH3)     C(C[6]C[6,6]O[6])(H)3    C[6](C[6,6]C[6,6]C[6])(O[6]H[6])(CH3){1|C<4>,1|H<1>,1|O<2>,2|C<3>}   1.4851    0.0000    1     1.4851     0.0000    1
