490    610     4:4:1:1:    3:4:4:4:    B-4:C-4:H-1:H-1:     C[5]-3:C-4:C-4:C-4:     N    C(BC[5]CC)(CH3)(H)2    B(C[5]C[5]N[5])(CCHH)3     C(BC[5]CC)(CH3)(H)2    B(C[5]C[5]N[5])(CCHH)3   1.6453    0.0000    1     1.6453     0.0000    1
490    610     4:4:1:1:    3:4:4:4:    B-4:C-4:H-1:H-1:     C[5]-3:C-4:C-4:C-4:     N    C(BC[5]CC)(CH3)(H)2    B(C[5]N[5]2)(CCHH)3     C(BC[5]CC)(CH3)(H)2    B(C[5]N[5]2)(CCHH)3   1.6491    0.0113    7     1.6491     0.0113    7
490    610     4:4:1:1:    3:4:4:4:    B-4:C-4:H-1:H-1:     N[6]-3:C-4:C-4:C-4:     N    C(BN[6]CC)(CH3)(H)2    B(N[6]C[6]2)(CC[6]HH)(CCHH)2     C(BN[6]CC)(CH3)(H)2    B(N[6]C[6]2)(CC[6]HH)(CCHH)2   1.6367    0.0000    1     1.6367     0.0000    1
490    610     4:4:1:1:    3:4:4:4:    B-4:P-4:H-1:H-1:     C[6a]-3:C-4:C-4:C-4:     N    C(BC[6a]CC)(PC[6a]2O)(H)2    B(C[6a]C[6a]2)(CHHP)3     C(BC[6a]CC)(PC[6a]2O)(H)2    B(C[6a]C[6a]2)(CHHP)3   1.6793    0.0018    2     1.6793     0.0018    2
490    610     4:4:1:1:    4:2:2:2:    C-4:B-4:H-1:H-1:     C-4:O-2:O-2:O-2:     N    C(CCHH)(BO3)(H)2    B(CCHH)(ON)3     C(CCHH)(BO3)(H)2    B(CCHH)(ON)3   1.5838    0.0018    2     1.5838     0.0018    2
490    610     4:4:1:1:    4:4:1:1:    P-4:B-4:H-1:H-1:     C-4:N-4:H-1:H-1:     N    C(PC[6a]2B)(BHHN)(H)2    B(CHHP)(NCCH)(H)2     C(PC[6a]2B)(BHHN)(H)2    B(CHHP)(NCCH)(H)2   1.6340    0.0000    1     1.6340     0.0000    1
490    610     4:4:1:1:    4:4:4:4:    B-4:C-4:H-1:H-1:     C[6]-4:C[6]-4:C-4:C-4:     N    C(BC[6]2C)(CHHP)(H)2    B(C[6]C[6]2H)2(CCHH)(CH3)     C(BC[6]2C)(CHHP)(H)2    B(C[6]C[6]2H)2(CCHH)(CH3)   1.6629    0.0000    1     1.6629     0.0000    1
490    610     4:4:4:4:    3:3:3:4:    B-4:C-4:C-4:C-4:     N[5]-3:N[5]-3:C[6a]-3:C-4:     N    C(BC[6a]N[5]2)(CH3)3    B(N[5]C[5]N[5])2(C[6a]C[6a]2)(CC3)     C(BC[6a]N[5]2)(CH3)3    B(N[5]C[5]N[5])2(C[6a]C[6a]2)(CC3)   1.6489    0.0072    2     1.6489     0.0072    2
490    610     4:4:4:4:    3:3:3:4:    B-4:C-4:C-4:C-4:     N[5]-3:N[5]-3:N[5]-3:C-4:     N    C(BN[5]3)(CH3)3    B(N[5]C[5]N[5])3(CC3)     C(BN[5]3)(CH3)3    B(N[5]C[5]N[5])3(CC3)   1.6289    0.0032    2     1.6289     0.0032    2
490    618     3:4:1:1:    4:4:4:    B[6,6]-3:C-4:H-1:H-1:     C[6,6]-4:C[6,6]-4:C-4:     N    C(B[6,6]C[6,6]2)(CHHP)(H)2    B[6,6](C[6,6]C[6]2H)2(CCHH)     C(B[6,6]C[6,6]2)(CHHP)(H)2    B[6,6](C[6,6]C[6]2H)2(CCHH){2|C<4>,8|H<1>}   1.6035    0.0000    1     1.6035     0.0000    1
490    670     3:1:1:1:    2:4:3:    N-3:H-1:H-1:H-1:     S-2:C-4:C-3:     N    C(NCS)(H)3    N(SC[6a])(CH3)(CNO)     C(NCS)(H)3    N(SC[6a])(CH3)(CNO)   1.4666    0.0121    2     1.4666     0.0121    2
490    670     3:1:1:1:    3:2:4:    N-3:H-1:H-1:H-1:     C-3:N-2:C-4:     N    C(NCN)(H)3    N(CC[6a]O)(NC[5])(CH3)     C(NCN)(H)3    N(CC[6a]O)(NC[5])(CH3)   1.4647    0.0000    1     1.4647     0.0000    1
