762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-3_2_2:O-3_2:O[6]-3_2     C-2_2_0_0:C[6]-2_2_2     C[6](C[6]C[6]C)(O[6]C[6])(OC)    O(C[6]C[6]O[6])(CC[5]HH)     C[6](C[6]C[6]C)(O[6]C[6])(OC){1|O<1>,1|O<2>,2|C<4>}    O(C[6]C[6]O[6])(CC[5]HH)   1.3370    0.0000    1     1.3370     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-3_2_2:O-3_2:O[6]-3_2     C-3_2_0_0:C[6]-2_2_2     C[6](C[6]C[6]2)(O[6]B[6])(OC)    O(C[6]C[6]O[6])(CCHH)     C[6](C[6]C[6]2)(O[6]B[6])(OC){1|H<1>,1|O<2>,2|F<1>,3|C<4>}    O(C[6]C[6]O[6])(CCHH)   1.3066    0.0000    1     1.3066     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    N[6]-2_2:N[6]-3_2_0:O-3_2     C-3_2_0_0:C[6]-2_2_2     C[6](N[6]C[6]H)(N[6]C[6])(OC)    O(C[6]N[6]2)(CCHH)     C[6](N[6]C[6]H)(N[6]C[6])(OC){1|C<3>,3|H<1>}    O(C[6]N[6]2)(CCHH)   1.3429    0.0000    1     1.3429     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    N[6]-2_2:N[6]-3_2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](N[6]C[6]C)(N[6]C[6])(OC)    O(C[6]N[6]2)(CH3)     C[6](N[6]C[6]C)(N[6]C[6])(OC){1|N<2>,1|O<2>,1|S<1>}    O(C[6]N[6]2)(CH3)   1.3261    0.0000    1     1.3243     0.0017    3
762    960     SP2_SP2    N:O    3:2:2:    3:4:    N[6]-2_2:N[6]-3_2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](N[6]C[6]C)(N[6]C[6])(OC)    O(C[6]N[6]2)(CH3)     C[6](N[6]C[6]C)(N[6]C[6])(OC){1|N<2>,1|S<1>,1|S<2>}    O(C[6]N[6]2)(CH3)   1.3234    0.0010    2     1.3243     0.0017    3
762    960     SP2_SP2    N:O    3:2:2:    3:4:    N[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](N[6]C[6]F)(N[6]C[6])(OC)    O(C[6]N[6]2)(CH3)     C[6](N[6]C[6]F)(N[6]C[6])(OC){1|N<2>,2|O<2>}    O(C[6]N[6]2)(CH3)   1.2874    0.0030    2     1.2874     0.0030    2
762    960     SP2_SP2    N:O    3:2:2:    3:4:    N[6]-2_2_2:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](N[6]C[6a]C[6])(N[6]C[5a,6])(OC)    O(C[6]N[6]2)(CH3)     C[6](N[6]C[6a]C[6])(N[6]C[5a,6])(OC){1|N<2>,1|N<3>,3|C<3>}    O(C[6]N[6]2)(CH3)   1.3285    0.0000    1     1.3285     0.0000    1
762    960     SP2_SP2    N:O    3:3:2:    3:3:    C[5a,6]-2_2_2:C[5a,6]-2_2_2:O-2_2     C[6a]-2_2_2:C[6]-2_2_2     C[6](C[5a,6]N[5a,6]C[5a])2(OC[6a])    O(C[6]C[5a,6]2)(C[6a]C[6a]2)     C[6](C[5a,6]N[5a,6]C[5a])2(OC[6a]){1|B<4>,2|H<1>,4|C<3>}    O(C[6]C[5a,6]2)(C[6a]C[6a]2)   1.3469    0.0122    6     1.3469     0.0122    6
762    960     SP2_SP2    N:O    3:3:2:    3:3:    C[5a,6]-2_2_2:C[6]-2_2_0:O-2_2     C[6a]-2_2_2:C[6]-2_2_2     C[6](C[5a,6]C[5a,6]C[5a])(C[6]C[6]H)(OC[6a])    O(C[6]C[5a,6]C[6])(C[6a]C[6a]2)     C[6](C[5a,6]C[5a,6]C[5a])(C[6]C[6]H)(OC[6a]){1|H<1>,2|C<3>,2|N<3>}    O(C[6]C[5a,6]C[6])(C[6a]C[6a]2)   1.3557    0.0017    3     1.3557     0.0017    3
762    960     SP2_SP2    N:O    3:3:2:    3:3:    C[6,6]-3_2_2:C[6]-2_2_0:O-2_2     C[6a]-2_2_2:C[6]-2_2_2     C[6](C[6,6]C[6,6]2)(C[6]C[6]H)(OC[6a])    O(C[6]C[6,6]C[6])(C[6a]C[6a]2)     C[6](C[6,6]C[6,6]2)(C[6]C[6]H)(OC[6a]){1|C<3>,1|H<1>,1|O<1>,3|C<4>}    O(C[6]C[6,6]C[6])(C[6a]C[6a]2)   1.3611    0.0000    1     1.3611     0.0000    1
