466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_9  451_19467_1  1.5050  0.0000  1  1.5012  0.0053  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_10  451_20038_1  1.4976  0.0000  1  1.4976  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-3_2_2:C[6]-3_3_2_0  449_30416_15  451_11931_1  1.5144  0.0000  1  1.5144  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-3_2_2:C[6]-3_3_2_0  449_30416_1  451_15690_3  1.5070  0.0000  1  1.5070  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-3_2_2:C[6]-3_3_2_0  449_30416_1  451_17898_1  1.5094  0.0102  2  1.5094  0.0102  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_1:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_6  451_16231_1  1.5067  0.0000  1  1.5067  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_2:C[6a]-2_2_2:C[6]-3_3_2_0  449_30375_3  451_25586_1  1.5074  0.0000  1  1.5074  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_2:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_11  451_11519_1  1.5029  0.0000  1  1.5029  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_2:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_2_2_0  449_30443_1  451_20039_1  1.5139  0.0000  1  1.5139  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a,6a]-2_2_2:C[6a]-2_2_0:C[6]-3_3_2_0  449_29811_1  451_7259_1  1.5142  0.0000  1  1.5142  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30448_1  451_10626_1  1.5029  0.0015  2  1.5029  0.0015  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30448_2  451_18968_1  1.5035  0.0000  1  1.5035  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30448_1  451_22634_1  1.5049  0.0000  1  1.5057  0.0041  5  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30448_1  451_22634_2  1.4997  0.0000  1  1.5057  0.0041  5  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30448_1  451_22634_3  1.5100  0.0000  1  1.5057  0.0041  5  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30448_1  451_22634_4  1.5069  0.0030  2  1.5057  0.0041  5  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30448_3  451_15691_1  1.5118  0.0000  1  1.5118  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30448_4  451_19468_1  1.5104  0.0000  1  1.5083  0.0021  7  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30448_5  451_19468_1  1.5079  0.0021  6  1.5083  0.0021  7  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30448_6  451_20039_2  1.5016  0.0000  1  1.5016  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:4:2:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6]-3_3_2_0:N[6a]-2_2  449_30568_1  451_19242_1  1.5101  0.0000  1  1.5101  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  4:3:2:  C[6a]-3_2_2:H-3:O[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6]-3_3_2_0:N[6a]-2_2  449_30566_1  451_7059_1  1.5029  0.0000  1  1.5029  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  4:3:3:  C[6a]-3_2_2:H-3:N[6]-3_2:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30274_1  451_7049_1  1.5154  0.0000  1  1.5154  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  4:3:3:  C[6a]-3_2_2:H-3:Se[6]-3_3:Se[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30453_1  451_7060_1  1.5026  0.0000  1  1.5026  0.0000  1  
466  643  SP2_SP3  N  3:2:2:2:  3:3:4:  C[6a]-3_2_2:O-3_3:S[6]-3_2:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_2_2_2  449_30432_1  451_22635_1  1.5149  0.0018  2  1.5149  0.0018  2  
466  643  SP2_SP3  N  3:2:2:2:  3:3:4:  C[6a]-3_2_2:O-3_3:S[6]-3_2:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_2_2_2  449_30449_1  451_22635_1  1.5156  0.0000  1  1.5156  0.0000  1  
466  643  SP2_SP3  N  3:2:2:3:  3:3:4:  C-3_2_0:C[6a]-3_2_2:O[6]-3_2:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_2  449_30410_1  451_22631_1  1.5114  0.0016  2  1.5114  0.0016  2  
466  643  SP2_SP3  N  3:2:2:3:  4:3:3:  C-3_2_0:C[6a]-3_2_2:O[6]-3_2:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_2  449_30442_1  451_7058_1  1.5151  0.0000  1  1.5151  0.0000  1  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_0_0_0:C[6a]-3_2_2:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30413_1  451_22631_2  1.5215  0.0146  2  1.5215  0.0146  2  
