643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_1:C[6a]-1_1_1:P-1_1     C-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]2)2(PC)    P(C[6a]C[6a]2)(CC[6a]H)     C[6a](C[6a]C[6a]2)2(PC){7|C<3>}    P(C[6a]C[6a]2)(CC[6a]H)   1.8476    0.0000    1     1.8476     0.0000    1
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_1:C[6a]-1_1_1:P-1_1     C-3_1_1:C[6a]-3_1_1     C[6a](C[6a]C[6a]2)2(PC)    P(C[6a]C[6a]2)(CC[6a]2)     C[6a](C[6a]C[6a]2)2(PC){2|H<1>,5|C<3>}    P(C[6a]C[6a]2)(CC[6a]2)   1.8458    0.0000    1     1.8458     0.0000    1
643    742     SP2_SP3    N    3:3:4:    3:3:3:3:    B[4]-1_0_0_0:C[6a]-1_1_0:C[6a]-1_1_0     C[6a]-1_1_0:N-1_0_0:N[4]-1_0_0:N[4]-1_0_0     C[6a](C[6a]C[6a]H)2(B[4]N[4]2N)    B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H)     C[6a](C[6a]C[6a]H)2(B[4]N[4]2N){2|C<3>,2|C<4>,2|H<1>}    B[4](C[6a]C[6a]2)(N[4]C[4]C)2(NC[6a]H){1|C<4>,2|C<3>,2|H<1>}   1.6185    0.0000    1     1.6185     0.0000    1
643    742     SP2_SP3    N    4:3:3:    3:3:3:1:    B[4]-1_0_0_0:C[6a]-1_1_0:C[6a]-1_1_0     Cl-0:C[6a]-1_1_0:N[4]-1_0_0:N[4]-1_0_0     C[6a](B[4]N[4]2Cl)(C[6a]C[6a]H)2    B[4](C[6a]C[6a]2)(N[4]B[4]P)2(Cl)     C[6a](B[4]N[4]2Cl)(C[6a]C[6a]H)2{1|B<4>,1|C<3>,2|H<1>,2|P<4>}    B[4](C[6a]C[6a]2)(N[4]B[4]P)2(Cl){1|Cl<1>,2|H<1>,3|C<3>}   1.6131    0.0000    1     1.6131     0.0000    1
643    742     SP2_SP3    N    4:3:3:    3:3:3:3:    B[4]-1_1_0_0:C[6a]-1_1_0:C[6a]-1_1_0     C[6a]-1_1_0:C[6a]-1_1_0:N[4]-1_0_0:N[4]-1_0_0     C[6a](B[4]C[6a]N[4]2)(C[6a]C[6a]F)2    B[4](C[6a]C[6a]2)2(N[4]C[4]C)2     C[6a](B[4]C[6a]N[4]2)(C[6a]C[6a]F)2{2|C<4>,2|F<1>,4|C<3>}    B[4](C[6a]C[6a]2)2(N[4]C[4]C)2{1|H<1>,4|C<3>,4|F<1>}   1.6225    0.0066    4     1.6245     0.0065    6
643    742     SP2_SP3    N    4:3:3:    3:3:3:3:    B[4]-1_1_0_0:C[6a]-1_1_0:C[6a]-1_1_0     C[6a]-1_1_0:C[6a]-1_1_0:N[4]-1_0_0:N[4]-1_0_0     C[6a](B[4]C[6a]N[4]2)(C[6a]C[6a]F)2    B[4](C[6a]C[6a]2)2(N[4]C[4]C)2     C[6a](B[4]C[6a]N[4]2)(C[6a]C[6a]F)2{2|C<4>,2|F<1>,4|C<3>}    B[4](C[6a]C[6a]2)2(N[4]C[4]C)2{4|F<1>,5|C<3>}   1.6284    0.0059    2     1.6245     0.0065    6
643    742     SP2_SP3    N    4:3:3:    3:3:3:3:    B[4]-1_1_0_0:C[6a]-1_1_0:C[6a]-1_1_0     C[6a]-1_1_0:C[6a]-1_1_0:N[4]-1_1_0:N[4]-1_1_0     C[6a](B[4]C[6a]N[4]2)(C[6a]C[6a]F)2    B[4](N[4]C[6a]C[4])2(C[6a]C[6a]2)2     C[6a](B[4]C[6a]N[4]2)(C[6a]C[6a]F)2{2|F<1>,6|C<3>}    B[4](N[4]C[6a]C[4])2(C[6a]C[6a]2)2{1|C<4>,4|F<1>,8|C<3>}   1.6171    0.0110    2     1.6171     0.0110    2
643    742     SP2_SP3    N    4:3:3:    3:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4,6a]-1_1_0:C[4,6a]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0     C[6a](B[4]C[4,6a]2C[6a])(C[6a]C[6a]C)2    B[4](C[4,6a]C[4,6a,6a]C[6a])2(C[6a]C[6a]2)2     C[6a](B[4]C[4,6a]2C[6a])(C[6a]C[6a]C)2{2|H<1>,6|C<3>}    B[4](C[4,6a]C[4,6a,6a]C[6a])2(C[6a]C[6a]2)2{2|H<1>,4|C<4>,7|C<3>}   1.6449    0.0020    2     1.6449     0.0020    2
643    742     SP2_SP3    N    4:3:3:    3:3:3:4:    B[4,5]-1_1_1_0:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[5]-1_0_0_0:C[6a]-1_1_0:S[4,5]-1_1_0     C[6a](B[4,5]S[4,5]C[4]C[5])(C[6a]C[6a]F)2    B[4,5](S[4,5]C[4]C[5])(C[4]C[6a]C[4])(C[6a]C[6a]2)(C[5]C[5]CC)     C[6a](B[4,5]S[4,5]C[4]C[5])(C[6a]C[6a]F)2{2|C<4>,2|F<1>,5|C<3>}    B[4,5](S[4,5]C[4]C[5])(C[4]C[6a]C[4])(C[6a]C[6a]2)(C[5]C[5]CC){2|C<4>,2|F<1>,5|C<3>}   1.6223    0.0000    1     1.6223     0.0000    1
643    742     SP2_SP3    N    4:3:3:    3:3:4:4:    B[4]-1_1_0_0:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-0_0_0_0:C[6a]-1_1_0:C[6a]-1_1_0:N[4]-0_0_0_0     C[6a](B[4]C[6a]C[4]N[4])(C[6a]C[6a]F)2    B[4](C[6a]C[6a]2)2(C[4]C[4]HH)(N[4]C[4]CC)     C[6a](B[4]C[6a]C[4]N[4])(C[6a]C[6a]F)2{2|F<1>,2|H<1>,3|C<3>,3|C<4>}    B[4](C[6a]C[6a]2)2(C[4]C[4]HH)(N[4]C[4]CC){1|H<1>,4|F<1>,5|C<3>}   1.6407    0.0013    2     1.6407     0.0013    2
643    742     SP2_SP3    N    4:3:3:    3:3:4:4:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[6a]-1_1_0:C[6a]-1_1_0:P[4]-0_0_0_0:P[4]-0_0_0_0     C[6a](B[4]C[6a]P[4]2)(C[6a]C[6a]F)2    B[4](C[6a]C[6a]2)2(P[4]B[4]CC)2     C[6a](B[4]C[6a]P[4]2)(C[6a]C[6a]F)2{1|B<4>,2|F<1>,3|C<3>,4|C<4>}    B[4](C[6a]C[6a]2)2(P[4]B[4]CC)2{4|F<1>,6|C<3>}   1.6323    0.0035    4     1.6323     0.0035    4
643    742     SP2_SP3    N    4:3:3:    3:4:3:3:    B[4]-1_1_1_0:C[6a]-1_1_0:C[6a]-1_1_0     C[4,6a]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:N[4]-1_0_0_0     C[6a](B[4]C[4,6a]C[6a]N[4])(C[6a]C[6a]F)2    B[4](C[4,6a]C[4,6a]C[6a])(N[4]C[4,6a]CC)(C[6a]C[6a]2)2     C[6a](B[4]C[4,6a]C[6a]N[4])(C[6a]C[6a]F)2{2|C<4>,2|F<1>,5|C<3>}    B[4](C[4,6a]C[4,6a]C[6a])(N[4]C[4,6a]CC)(C[6a]C[6a]2)2{1|H<1>,4|F<1>,6|C<3>}   1.6336    0.0034    2     1.6336     0.0034    2
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_0_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[6a]C[6a]2)2(C[4]C[4]C)     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{1|C<4>,2|F<1>,6|C<3>}    B[4](P[4]C[6a]2C[4])(C[6a]C[6a]2)2(C[4]C[4]C){1|Si<4>,4|F<1>,8|C<3>}   1.6214    0.0106    8     1.6207     0.0095    10
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_0_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[6a]C[6a]2)2(C[4]C[4]C)     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{1|C<4>,2|F<1>,6|C<3>}    B[4](P[4]C[6a]2C[4])(C[6a]C[6a]2)2(C[4]C[4]C){4|F<1>,9|C<3>}   1.6180    0.0021    2     1.6207     0.0095    10
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[4]C[4]C[6])(C[6a]C[6a]2)2     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{2|F<1>,7|C<3>}    B[4](P[4]C[6a]2C[4])(C[4]C[4]C[6])(C[6a]C[6a]2)2{11|C<3>,4|F<1>}   1.6354    0.0000    1     1.6354     0.0000    1
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[4]C[6a]C[4])(C[6a]C[6a]2)2     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{2|F<1>,7|C<3>}    B[4](P[4]C[6a]2C[4])(C[4]C[6a]C[4])(C[6a]C[6a]2)2{10|C<3>,1|C<4>,4|F<1>}   1.6253    0.0074    4     1.6261     0.0065    10
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[4]C[6a]C[4])(C[6a]C[6a]2)2     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{2|F<1>,7|C<3>}    B[4](P[4]C[6a]2C[4])(C[4]C[6a]C[4])(C[6a]C[6a]2)2{10|C<3>,1|H<1>,4|F<1>}   1.6204    0.0035    2     1.6261     0.0065    10
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[4]C[6a]C[4])(C[6a]C[6a]2)2     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{2|F<1>,7|C<3>}    B[4](P[4]C[6a]2C[4])(C[4]C[6a]C[4])(C[6a]C[6a]2)2{11|C<3>,4|F<1>}   1.6297    0.0053    4     1.6261     0.0065    10
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]2C[4])(C[6a]C[6a]2)2(C[4]C[4]C)     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{2|F<1>,7|C<3>}    B[4](P[4]C[6a]2C[4])(C[6a]C[6a]2)2(C[4]C[4]C){4|F<1>,9|C<3>}   1.6256    0.0088    12     1.6256     0.0088    12
643    742     SP2_SP3    N    4:3:3:    4:3:3:3:    B[4]-1_1_1_1:C[6a]-1_1_0:C[6a]-1_1_0     C[4]-1_1_0:C[6a]-1_1_0:C[6a]-1_1_0:P[4]-1_1_1_0     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2    B[4](P[4]C[6a]C[4]C)(C[6a]C[6a]2)2(C[4]C[4]C)     C[6a](B[4]C[6a]C[4]P[4])(C[6a]C[6a]F)2{2|F<1>,7|C<3>}    B[4](P[4]C[6a]C[4]C)(C[6a]C[6a]2)2(C[4]C[4]C){4|F<1>,7|C<3>}   1.6259    0.0215    2     1.6259     0.0215    2
