690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_2_0_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6]HH)2(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6]HH)2(H)2{3|C<3>}   0.9143    0.0313    2     0.9143     0.0313    2
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_0_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[5a,6]HH)(C[6]C[6]HH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[5a,6]HH)(C[6]C[6]HH)(H)2{1|C<3>,1|O<2>,2|H<1>}   0.9194    0.0032    6     0.9103     0.0236    10
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_0_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[5a,6]HH)(C[6]C[6]HH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[5a,6]HH)(C[6]C[6]HH)(H)2{2|C<3>,2|H<1>}   0.8966    0.0352    4     0.9103     0.0236    10
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_0_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(H)2{2|C<3>,2|H<1>}   0.9002    0.0003    2     0.9002     0.0003    2
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_0_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6]HH)2(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6]HH)2(H)2{1|C<3>,3|H<1>}   0.9601    0.0003    4     0.9601     0.0003    4
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_2_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[5a,6]HH)(C[6]C[6]CH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[5a,6]HH)(C[6]C[6]CH)(H)2{1|C<3>,1|O<2>,2|H<1>}   0.9253    0.0085    2     0.9253     0.0085    2
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_2_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]CH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]CH)(H)2{2|C<3>,2|H<1>}   0.8996    0.0002    4     0.8996     0.0002    4
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_3_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]CH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]CH)(H)2{1|H<1>,3|C<3>}   0.9494    0.0515    2     0.9494     0.0515    2
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_3_0:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6]CH)(C[6]C[6]HH)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6]CH)(C[6]C[6]HH)(H)2{1|Br<1>,1|C<3>,1|H<1>,1|O<2>}   0.9790    0.0014    6     0.9790     0.0014    6
690    854     SP-NON_SP3    N:O    4:    4:4:1:1:    N[6]-3_3_0_0     C[6]-3_2_0_0:C[6]-3_3_3_2:H-3:H-3     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]CC)(H)2     H(N[6]C[6]2H)    N[6](C[6]C[6,6a]HH)(C[6]C[6]CC)(H)2{3|C<3>}   0.8327    0.0120    2     0.8327     0.0120    2
