762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-2:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CHN)    C(C[6a]C[6a]N[6a])(NN)(H)     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CHN){2|C<3>}    C(C[6a]C[6a]N[6a])(NN)(H)   1.4556    0.0000    1     1.4556     0.0000    1
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[5a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC)(O)     C[6a](N[6a]C[5a,6a])(C[6a]C[6a]H)(COO){1|C<3>,1|C<4>,1|N<3>}    C(C[6a]C[6a]N[6a])(OC)(O)   1.5026    0.0000    1     1.5026     0.0000    1
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OH)(O)     C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO){1|C<3>,1|H<1>,1|N<3>}    C(C[6a]C[6a]N[6a])(OH)(O)   1.5246    0.0000    1     1.5063     0.0164    3
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OH)(O)     C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(COO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(OH)(O)   1.4971    0.0056    2     1.5063     0.0164    3
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|C<3>,1|H<1>,1|N<2>}    C(C[6a]C[6a]N[6a])(OC)(O)   1.5113    0.0000    1     1.5076     0.0050    15
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(OC)(O)   1.5040    0.0000    1     1.5076     0.0050    15
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|O<2>,2|C<3>}    C(C[6a]C[6a]N[6a])(OC)(O)   1.5087    0.0042    11     1.5076     0.0050    15
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){3|C<3>}    C(C[6a]C[6a]N[6a])(OC)(O)   1.5013    0.0075    2     1.5076     0.0050    15
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC[6a])(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(OC[6a])(O)   1.4941    0.0000    1     1.4941     0.0000    1
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OH)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(OH)(O)   1.5061    0.0000    1     1.5061     0.0000    1
