490    996     4:4:3:2:    4:2:    C[5]-4:C-4:C-3:C-2:     C-4:C-2:     N    C(C[5]C[5]2H)(CH3)(CNO)(CC)    C(CC[5]CC)(CH)     C(C[5]C[5]2H)(CH3)(CNO)(CC)    C(CC[5]CC)(CH)   1.4809    0.0000    1     1.4809     0.0000    1
490    996     4:4:4:2:    4:1:    C-4:C-4:C-4:C-2:     C-4:N-1:     N    C(CC[5]HH)(CCHH)(CH3)(CN)    C(CC3)(N)     C(CC[5]HH)(CCHH)(CH3)(CN)    C(CC3)(N)   1.4831    0.0000    1     1.4831     0.0000    1
490    996     4:4:4:2:    4:1:    C-4:C-4:C-4:C-2:     C-4:N-1:     N    C(CC[6a]HO)(CCHH)(CH3)(CN)    C(CC3)(N)     C(CC[6a]HO)(CCHH)(CH3)(CN)    C(CC3)(N)   1.4770    0.0000    1     1.4770     0.0000    1
490    996     4:4:4:2:    4:2:    C-4:C-4:C-4:C-2:     C-4:C-2:     N    C(CH3)3(CC)    C(CC3)(CC)     C(CH3)3(CC)    C(CC3)(CC)   1.4839    0.0002    2     1.4839     0.0002    2
490    998     4:1:1:1:    3:3:3:4:    P[4]-4:H-1:H-1:H-1:     C[4,6a]-3:C[4,6a]-3:C[6a]-3:C-4:     N    C(P[4]C[4,6a]2C[6a])(H)3    P[4](C[4,6a]C[4,6a,6a]C[6a])2(C[6a]C[6a]2)(CH3)     C(P[4]C[4,6a]2C[6a])(H)3    P[4](C[4,6a]C[4,6a,6a]C[6a])2(C[6a]C[6a]2)(CH3){2|C<4>,2|H<1>,5|C<3>}   1.8057    0.0000    2     1.8057     0.0000    2
490    998     4:4:1:1:    3:3:4:1:    P[4,4]-4:C-4:H-1:H-1:     P[3a,4,4]-3:P[3a,4,4]-3:C-4:Cl-1:     N    C(P[4,4]P[3a,4,4]2Cl)(CH3)(H)2    P[4,4](P[3a,4,4]P[3a,3a,4]2)2(CCHH)(Cl)     C(P[4,4]P[3a,4,4]2Cl)(CH3)(H)2    P[4,4](P[3a,4,4]P[3a,3a,4]2)2(CCHH)(Cl){}   1.7993    0.0000    1     1.7993     0.0000    1
490    998     4:4:1:1:    4:4:4:4:    P[4]-4:C-4:H-1:H-1:     B[4]-4:B[4]-4:C-4:C-4:     N    C(P[4]B[4]2C)(CH3)(H)2    P[4](B[4]C[6a]2P[4])2(CCHH)2     C(P[4]B[4]2C)(CH3)(H)2    P[4](B[4]C[6a]2P[4])2(CCHH)2{2|C<4>,8|C<3>}   1.8397    0.0004    4     1.8397     0.0004    4
490    998     4:4:4:1:    3:3:4:1:    P[4,4]-4:C-4:C-4:H-1:     P[3a,4,4]-3:P[3a,4,4]-3:C-4:Cl-1:     N    C(P[4,4]P[3a,4,4]2Cl)(CH3)2(H)    P[4,4](P[3a,4,4]P[3a,3a,4]2)2(CCCH)(Cl)     C(P[4,4]P[3a,4,4]2Cl)(CH3)2(H)    P[4,4](P[3a,4,4]P[3a,3a,4]2)2(CCCH)(Cl){}   1.8278    0.0071    2     1.8278     0.0071    2
490    998     4:4:4:1:    4:4:4:4:    P[4,4]-4:C-4:C-4:H-1:     B[3x4]-4:B[3x4]-4:C-4:C-4:     N    C(P[4,4]B[3x4]2C)(CH3)2(H)    P[4,4](B[3x4]Se[4,4]P[4,4]C)2(CCCH)2     C(P[4,4]B[3x4]2C)(CH3)2(H)    P[4,4](B[3x4]Se[4,4]P[4,4]C)2(CCCH)2{2|C<4>}   1.8662    0.0064    3     1.8662     0.0064    3
490    998     4:4:4:1:    4:4:4:4:    P[4]-4:C-4:C-4:H-1:     B[3,4]-4:B[4]-4:C-4:C-4:     N    C(P[4]B[3,4]B[4]C)(CH3)2(H)    P[4](B[3,4]C[3]2P[4])(B[4]P[4]BrC)(CCCH)2     C(P[4]B[3,4]B[4]C)(CH3)2(H)    P[4](B[3,4]C[3]2P[4])(B[4]P[4]BrC)(CCCH)2{2|H<1>,4|C<4>}   1.8593    0.0031    3     1.8593     0.0031    3
490    998     4:4:4:1:    4:4:4:4:    P[4]-4:C-4:C-4:H-1:     B[4]-4:B[4]-4:C-4:C-4:     N    C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]BrC)2(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]BrC)2(CCCH)2{2|C<4>}   1.8707    0.0000    1     1.8707     0.0000    1
490    998     4:4:4:1:    4:4:4:4:    P[4]-4:C-4:C-4:H-1:     B[4]-4:B[4]-4:C-4:C-4:     N    C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]CH)(B[4]P[4]CO)(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]CH)(B[4]P[4]CO)(CCCH)2{2|C<4>}   1.8653    0.0000    1     1.8653     0.0000    1
490    998     4:4:4:1:    4:4:4:4:    P[4]-4:C-4:C-4:H-1:     B[4]-4:B[4]-4:C-4:C-4:     N    C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]ClC)2(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]ClC)2(CCCH)2{2|C<4>}   1.8650    0.0042    4     1.8650     0.0042    4
490    998     4:4:4:4:    2:2:4:1:    P[4]-4:C-4:C-4:C-4:     S[4]-2:S[4]-2:C-4:S-1:     N    C(P[4]S[4]2S)(CH3)3    P[4](S[4]P[4])2(CC3)(S)     C(P[4]S[4]2S)(CH3)3    P[4](S[4]P[4])2(CC3)(S){1|C<4>,1|S<1>}   1.8562    0.0000    1     1.8562     0.0000    1
490    998     4:4:4:4:    3:3:4:4:    P[4]-4:C-4:C-4:C-4:     C[4,6a]-3:C[4,6a]-3:B-4:C-4:     N    C(P[4]C[4,6a]2B)(CH3)3    P[4](C[4,6a]C[4,6a,6a]C[6a])2(BH3)(CC3)     C(P[4]C[4,6a]2B)(CH3)3    P[4](C[4,6a]C[4,6a,6a]C[6a])2(BH3)(CC3){2|H<1>,3|C<3>}   1.8401    0.0000    2     1.8401     0.0000    2
490    998     4:4:4:4:    3:3:4:4:    P[4]-4:C-4:C-4:C-4:     P[4]-3:P[4]-3:C-4:C-4:     N    C(P[4]P[4]2C)(CH3)3    P[4](P[4]P[4]C)2(CC3)(CH3)     C(P[4]P[4]2C)(CH3)3    P[4](P[4]P[4]C)2(CC3)(CH3){1|C<4>}   1.8474    0.0000    1     1.8474     0.0000    1
490    998     4:4:4:4:    4:4:4:4:    P[4]-4:C-4:C-4:C-4:     C[4]-4:C[4]-4:C-4:C-4:     N    C(P[4]C[4]2C)(CH3)3    P[4](C[4]P[4]CH)2(CC3)(CH3)     C(P[4]C[4]2C)(CH3)3    P[4](C[4]P[4]CH)2(CC3)(CH3){1|C<4>}   1.8829    0.0000    1     1.8829     0.0000    1
502    502     4:4:4:1:    4:4:4:1:    C[3x6]-4:C[3x6]-4:P[6,6]-4:O-1:     C[3x6]-4:C[3x6]-4:P[6,6]-4:O-1:     N    P[6,6](C[3x6]C[6,6]O[6,6]C)2(P[6,6]C[3x6]2O)(O)    P[6,6](C[3x6]C[6,6]O[6,6]C)2(P[6,6]C[3x6]2O)(O)     P[6,6](C[3x6]C[6,6]O[6,6]C)2(P[6,6]C[3x6]2O)(O){2|O<2>,4|H<1>,6|C<4>}    P[6,6](C[3x6]C[6,6]O[6,6]C)2(P[6,6]C[3x6]2O)(O){2|O<2>,4|H<1>,6|C<4>}   2.3228    0.0000    1     2.3228     0.0000    1
502    502     4:4:4:1:    4:4:4:1:    P[6,6]-4:C[6]-4:C[6]-4:O-1:     P[6,6]-4:C[6]-4:C[6]-4:O-1:     Y    P[6,6](P[6,6]C[6]2O)(C[6]C[6]HH)2(O)    P[6,6](P[6,6]C[6]2O)(C[6]C[6]HH)2(O)     P[6,6](P[6,6]C[6]2O)(C[6]C[6]HH)2(O){2|C<3>,2|C<4>,4|H<1>}    P[6,6](P[6,6]C[6]2O)(C[6]C[6]HH)2(O){2|C<3>,2|C<4>,4|H<1>}   2.2185    0.0000    1     2.2185     0.0000    1
502    502     4:4:4:1:    4:4:4:1:    P[6,6]-4:C[6]-4:C[6]-4:S-1:     P[6,6]-4:C[6]-4:C[6]-4:S-1:     Y    P[6,6](P[6,6]C[6]2S)(C[6]C[6]HH)2(S)    P[6,6](P[6,6]C[6]2S)(C[6]C[6]HH)2(S)     P[6,6](P[6,6]C[6]2S)(C[6]C[6]HH)2(S){2|C<3>,2|C<4>,4|H<1>}    P[6,6](P[6,6]C[6]2S)(C[6]C[6]HH)2(S){2|C<3>,2|C<4>,4|H<1>}   2.2193    0.0000    1     2.2193     0.0000    1
502    502     4:4:4:2:    4:4:4:2:    P[6,6]-4:C[6]-4:C[6]-4:N-2:     P[6,6]-4:C[6]-4:C[6]-4:N-2:     Y    P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC)    P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC[6a])     P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC){2|C<3>,2|C<4>,4|H<1>}    P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC[6a]){2|C<3>,2|C<4>,4|H<1>}   2.2805    0.0000    1     2.2805     0.0000    1
502    502     4:4:4:2:    4:4:4:2:    P[6,6]-4:C[6]-4:C[6]-4:N-2:     P[6,6]-4:C[6]-4:C[6]-4:N-2:     Y    P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC[6a])    P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC[6a])     P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC[6a]){2|C<3>,2|C<4>,4|H<1>}    P[6,6](P[6,6]C[6]2N)(C[6]C[6]HH)2(NC[6a]){2|C<3>,2|C<4>,4|H<1>}   2.2398    0.0000    1     2.2398     0.0000    1
502    542     2:3:2:1:    4:4:4:    N[6]-2:N[5]-3:N[6]-2:Cl-1:     P[6]-4:C[5]-4:C[5]-4:     N    P[6](N[6]P[6,6])(N[5]C[5]2)(N[6]P[6])(Cl)    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2     P[6](N[6]P[6,6])(N[5]C[5]2)(N[6]P[6])(Cl){2|Cl<1>,1|N<2>,1|N<3>,1|O<2>,2|C<4>,4|H<1>}    N[5](P[6]N[6]2Cl)(C[5]C[5]HH)2{2|P<4>,4|H<1>}   1.6257    0.0000    1     1.6257     0.0000    1
502    542     3:3:2:2:    4:3:2:    N[5a]-3:N[5a]-3:N[6]-2:N[6]-2:     P[6]-4:C[5a]-3:N[5a]-2:     N    P[6](N[5a]C[5a]N[5a])2(N[6]C[6])2    N[5a](P[6]N[5a]N[6]2)(C[5a]C[5a]C)(N[5a]C[5a])     P[6](N[5a]C[5a]N[5a])2(N[6]C[6])2{1|N<2>,2|C<4>,2|N<3>,4|C<3>}    N[5a](P[6]N[5a]N[6]2)(C[5a]C[5a]C)(N[5a]C[5a]){1|C<4>,1|H<1>,1|N<2>,3|C<3>}   1.6918    0.0077    3     1.6918     0.0077    3
502    542     3:3:3:1:    4:3:3:    N[5a,6]-3:N[5a,6]-3:N[5a,6,6]-3:O-1:     P[6,6]-4:C[5a,6]-3:C[5a]-3:     Y    P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O)    N[5a,6](P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6])(C[5a]C[5a]C)     P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O){1|N<3>,9|C<3>}    N[5a,6](P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6])(C[5a]C[5a]C){2|H<1>,5|C<3>}   1.6715    0.0000    1     1.6715     0.0000    1
502    622     2:2:1:1:    4:4:    O[6]-2:O[6]-2:O-1:O-1:     C[6]-4:P[6]-4:     Y    P[6](O[6]C[6])2(O)2    O[6](C[6]C[6]HH)(P[6]O[6]OO)     P[6](O[6]C[6])2(O)2{1|C<4>,4|H<1>}    O[6](C[6]C[6]HH)(P[6]O[6]OO){1|C<4>,2|O<2>}   1.5929    0.0000    1     1.5929     0.0000    1
502    622     2:2:1:1:    4:4:    O[6]-2:O[6]-2:O-1:O-1:     P[6]-4:P[6]-4:     Y    P[6](O[6]P[6])2(O)2    O[6](P[6]O[6]OO)2     P[6](O[6]P[6])2(O)2{1|O<2>,4|O<1>}    O[6](P[6]O[6]OO)2{1|P<4>}   1.6113    0.0088    24     1.6128     0.0094    27
502    622     2:2:1:1:    4:4:    O[6]-2:O[6]-2:O-1:O-1:     P[6]-4:P[6]-4:     Y    P[6](O[6]P[6])2(O)2    O[6](P[6]O[6]OO)2     P[6](O[6]P[6])2(O)2{2|O<1>,3|O<2>}    O[6](P[6]O[6]OO)2{1|P<4>}   1.6269    0.0017    2     1.6128     0.0094    27
502    622     2:2:1:1:    4:4:    O[6]-2:O[6]-2:O-1:O-1:     P[6]-4:P[6]-4:     Y    P[6](O[6]P[6])2(O)2    O[6](P[6]O[6]OO)2     P[6](O[6]P[6])2(O)2{2|O<2>,3|O<1>}    O[6](P[6]O[6]OO)2{1|P<4>}   1.6217    0.0000    1     1.6128     0.0094    27
502    622     2:2:2:2:    4:4:    N[6]-2:N[6]-2:O[6]-2:O[6]-2:     P[6,6]-4:C[6]-4:     Y    P[6,6](N[6]P[6,6])2(O[6]C[6])2    O[6](P[6,6]N[6]2O[6])(C[6]C[6]HH)     P[6,6](N[6]P[6,6])2(O[6]C[6])2{1|C<4>,1|N<2>,2|N<3>,2|O<2>,4|H<1>}    O[6](P[6,6]N[6]2O[6])(C[6]C[6]HH){1|C<4>,2|H<1>,2|P<4>}   1.5956    0.0039    2     1.5956     0.0039    2
502    622     2:2:2:2:    4:4:    N[6]-2:N[6]-2:O[6]-2:O[6]-2:     P[6,6]-4:C[6]-4:     Y    P[6,6](N[6]P[6])2(O[6]C[6])2    O[6](P[6,6]N[6]2O[6])(C[6]C[6,6]HH)     P[6,6](N[6]P[6])2(O[6]C[6])2{2|Cl<1>,1|C<4>,1|N<2>,2|N<3>,4|H<1>}    O[6](P[6,6]N[6]2O[6])(C[6]C[6,6]HH){2|P<4>,3|C<4>}   1.5831    0.0000    1     1.5831     0.0000    1
502    622     2:2:3:1:    4:4:    O[6]-2:O[6]-2:N-3:Se-1:     P[6]-4:C[6]-4:     Y    P[6](O[6]C[6])2(NCH)(Se)    O[6](P[6]O[6]SeN)(C[6]C[6]HH)     P[6](O[6]C[6])2(NCH)(Se){1|C<4>,4|H<1>}    O[6](P[6]O[6]SeN)(C[6]C[6]HH){3|C<4>}   1.5870    0.0000    1     1.5870     0.0000    1
502    622     2:2:3:1:    4:4:    O[6]-2:O[6]-2:N-3:Se-1:     P[6]-4:C[6]-4:     Y    P[6](O[6]C[6])2(NHH)(Se)    O[6](P[6]O[6]SeN)(C[6]C[6]HH)     P[6](O[6]C[6])2(NHH)(Se){1|C<4>,4|H<1>}    O[6](P[6]O[6]SeN)(C[6]C[6]HH){3|C<4>}   1.5909    0.0000    1     1.5909     0.0000    1
502    622     2:2:3:2:    3:4:    O[6]-2:N[6]-2:N[6]-3:N[6]-2:     C[6,6a]-3:P[6,6]-4:     Y    P[6,6](O[6]C[6,6a])(N[6]P[6,6])(N[6]C[6]C)(N[6]P[6])    O[6](C[6,6a]C[6,6a]C[6a])(P[6,6]N[6]3)     P[6,6](O[6]C[6,6a])(N[6]P[6,6])(N[6]C[6]C)(N[6]P[6]){1|N<2>,1|O<2>,2|C<3>,2|H<1>,3|N<3>}    O[6](C[6,6a]C[6,6a]C[6a])(P[6,6]N[6]3){1|H<1>,2|C<3>,2|C<4>,2|P<4>}   1.6114    0.0000    1     1.5968     0.0207    2
502    622     2:2:3:2:    3:4:    O[6]-2:N[6]-2:N[6]-3:N[6]-2:     C[6,6a]-3:P[6,6]-4:     Y    P[6,6](O[6]C[6,6a])(N[6]P[6,6])(N[6]C[6]C)(N[6]P[6])    O[6](C[6,6a]C[6,6a]C[6a])(P[6,6]N[6]3)     P[6,6](O[6]C[6,6a])(N[6]P[6,6])(N[6]C[6]C)(N[6]P[6]){2|Cl<1>,1|N<2>,1|N<3>,1|O<2>,2|C<3>,2|H<1>}    O[6](C[6,6a]C[6,6a]C[6a])(P[6,6]N[6]3){1|H<1>,2|C<3>,2|C<4>,2|P<4>}   1.5821    0.0000    1     1.5968     0.0207    2
502    622     2:2:4:1:    4:4:    O[6]-2:O[6]-2:C-4:O-1:     C[6]-4:P[6]-4:     Y    P[6](O[6]C[6])2(CCCO)(O)    O[6](C[6]C[6,6]HH)(P[6]O[6]CO)     P[6](O[6]C[6])2(CCCO)(O){1|C<4>,4|H<1>}    O[6](C[6]C[6,6]HH)(P[6]O[6]CO){3|C<4>}   1.5808    0.0000    1     1.5808     0.0000    1
